label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,variant,split,desc,note
WPR-A|train,4356,2671.5,0.3398,1.6675,-1.3898,0.0317,0.2856,0.0968,0.00029,0.3827,-0.351,1.198,-9.569,-0.4064,-0.2967,0.617,1529.1,346.5,77.0,12.35,0.6724,12.079,47.2,34.4,65.6,0.0,A,train,> -80 & rising,
WPR-A|valid,1504,668.1,0.3072,1.6791,-1.406,-0.0505,0.3031,0.1027,0.00192,0.4078,-0.4583,-0.944,-6.477,-0.5509,-0.3685,0.53,687.3,333.9,81.0,12.81,0.6865,,48.9,31.6,68.4,0.0,A,valid,> -80 & rising,
WPR-B|train,4374,2778.5,0.3406,1.6674,-1.3799,0.035,0.2812,0.0953,0.00038,0.3768,-0.3419,1.339,-10.337,-0.394,-0.2901,0.624,1495.4,342.9,76.0,12.4,0.6744,10.773,47.2,34.5,65.5,0.0,B,train,> -50 & rising,
WPR-B|valid,1492,647.5,0.3083,1.6723,-1.4082,-0.0489,0.3043,0.1032,0.00204,0.4095,-0.4585,-0.918,-6.33,-0.5559,-0.3672,0.529,682.1,336.9,83.0,12.71,0.6868,,48.9,31.7,68.3,0.0,B,valid,> -50 & rising,
WPR-C|train,5,5.0,0.6,0.9845,-0.9839,1.4,0.8983,0.3045,0.0,1.2029,0.1971,4.881,0.78,-0.364,0.7583,1.501,0.8,13.4,13.0,0.03,0.1589,0.859,40.0,80.0,20.0,0.0,C,train,crosses up through -80,
WPR-C|valid,0,,,,,,,,,,,,,,,,,,,,,,,,,,C,valid,crosses up through -80,no trades
