label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,target_r,stop,split
2.0R|structural|train,4356,2671.5,0.3398,1.6675,-1.3898,0.0317,0.2856,0.0968,0.00029,0.3827,-0.351,1.198,-9.569,-0.4064,-0.2967,0.617,1529.1,346.5,77.0,12.35,0.6724,12.079,47.2,34.4,65.6,0.0,2.0,structural,train
2.0R|structural|valid,1504,668.1,0.3072,1.6791,-1.406,-0.0505,0.3031,0.1027,0.00192,0.4078,-0.4583,-0.944,-6.477,-0.5509,-0.3685,0.53,687.3,333.9,81.0,12.81,0.6865,,48.9,31.6,68.4,0.0,2.0,structural,valid
2.0R|legacy|train,9117,7598.2,0.3019,1.2793,-2.0718,-0.0184,0.7781,0.2638,-5e-05,1.0418,-1.0602,-1.16,-18.55,-1.1736,-0.9694,0.267,9667.0,17.7,8.0,25.9,0.2381,,46.7,32.7,67.3,0.3,2.0,legacy,train
2.0R|legacy|valid,300,300.0,0.2667,0.7739,-2.912,-0.03,1.4196,0.4812,-0.00169,1.8991,-1.9291,-0.339,-9.512,-2.349,-1.5723,0.097,576.5,3.9,2.0,3.02,0.1254,,43.3,32.3,67.7,1.3,2.0,legacy,valid
3.0R|structural|train,3157,1916.2,0.2572,2.6397,-1.3985,0.0326,0.2925,0.0992,0.0008,0.3925,-0.3599,0.832,-7.348,-0.4352,-0.2859,0.654,1137.3,528.1,107.0,8.95,0.6802,12.03,47.0,25.8,74.2,0.1,3.0,structural,train
3.0R|structural|valid,1006,490.6,0.2336,2.6578,-1.4131,-0.0457,0.3086,0.1046,0.00317,0.4164,-0.4622,-0.633,-5.068,-0.5872,-0.3394,0.573,463.3,511.1,109.5,8.56,0.6964,,50.1,23.9,76.1,0.0,3.0,structural,valid
3.0R|legacy|train,9000,8498.3,0.2403,2.1774,-2.0905,0.0004,0.7955,0.2697,4e-05,1.0652,-1.0648,0.024,-20.866,-1.1722,-0.9775,0.33,9582.5,28.0,10.0,25.57,0.2284,2396.798,46.8,25.0,75.0,0.2,3.0,legacy,train
3.0R|legacy|valid,320,320.0,0.2188,1.6636,-2.6662,-0.0375,1.257,0.4261,-0.00159,1.6816,-1.7191,-0.356,-11.153,-2.0087,-1.4111,0.175,548.3,5.2,2.0,4.86,0.1298,,45.3,24.1,75.9,0.6,3.0,legacy,valid
