label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,strategy,split,signals,skipped_stop,skipped_size
H-WPR-1 momentum (no pullback)|train,4356,2671.5,0.3398,1.6675,-1.3898,0.0317,0.2856,0.0968,0.00029,0.3827,-0.351,1.198,-9.569,-0.4064,-0.2967,0.617,1529.1,346.5,77.0,12.35,0.6724,12.079,47.2,34.4,65.6,0.0,H-WPR-1 momentum (no pullback),train,100752,266,0
H-WPR-1 momentum (no pullback)|valid,1504,668.1,0.3072,1.6791,-1.406,-0.0505,0.3031,0.1027,0.00192,0.4078,-0.4583,-0.944,-6.477,-0.5509,-0.3685,0.53,687.3,333.9,81.0,12.81,0.6865,,48.9,31.6,68.4,0.0,H-WPR-1 momentum (no pullback),valid,135604,312,5
previous pullback strategy|train,6,6.0,0.5,0.9485,-1.8644,1.0,1.0888,0.3691,0.0,1.4579,-0.4579,3.998,-1.154,-1.323,0.4071,0.509,4.5,10.0,11.0,0.03,0.1252,1.458,33.3,66.7,33.3,0.0,previous pullback strategy,train,11,0,0
previous pullback strategy|valid,1,1.0,0.0,,-1.4213,-1.0,0.3147,0.1067,0.0,0.4213,-1.4213,,,,,0.0,0.0,125.0,125.0,1.0,0.3757,,0.0,0.0,100.0,0.0,previous pullback strategy,valid,16,0,0
