k,n,unresolved,clusters,excess_p,se_p,t,excess_gross_R,se_gross_R,ci_low_R,ci_high_R,mde_gross_R,p_arm,p_mirror,pct_long,label,cost_floor_R,beats_cost,multiple_of_cost,exec_tf,symbol,half,mechanism,cap
0.5,117511,2601,1415,0.020989524384951195,0.0013511414829848714,15.534660617911182,0.031484286577426794,0.0020267122244773074,0.027511930617451268,0.035456642537402314,0.005674794228536459,0.6660227553165236,0.6450332309315724,0.5027444239262707,POOLED,0.2565186312365638,False,0.1227368414748467,,,,,
1.0,117426,2686,1414,0.009721015788666906,0.001590320834037334,6.112612990165164,0.01944203157733381,0.003180641668074668,0.013207973907907462,0.02567608924676016,0.00890579667060907,0.5099126258239232,0.5001916100352563,0.5027336365029891,POOLED,0.2565186312365638,False,0.07579188881373763,,,,,
2.0,117299,2813,1414,0.0012020562835147785,0.001596309462795721,0.7530220872145548,0.0036061688505443354,0.004788928388387163,-0.005780130790694504,0.012992468491783175,0.013408999487484054,0.34705325706101503,0.34585120077750026,0.5027579092745889,POOLED,0.2565186312365638,False,0.014058116687901292,,,,,
4.0,117144,2968,1413,-0.0028768012019394933,0.0014247090993059455,-2.0192200662864734,-0.014384006009697466,0.007123545496529727,-0.02834615518289573,-0.00042185683649920017,0.01994592739028324,0.2139076691934713,0.21678447039541077,0.5028255821894421,POOLED,0.2565186312365638,False,-0.05607392313126919,,,,,
0.5,82821,2291,1415,0.02554303860132092,0.0015562356523300025,16.413348815828616,0.03831455790198138,0.002334353478495004,0.03373922508413117,0.04288989071983159,0.00653618973978601,0.6659542869562067,0.6404112483548858,0.5020224339237633,tf=5m,0.31427612554332746,False,0.12191367650260525,5.0,,,,
1.0,82787,2325,1414,0.010762559339026659,0.0017342743511300463,6.20579975250964,0.021525118678053318,0.0034685487022600926,0.014726763221623536,0.0283234741344831,0.009711936366328259,0.5090050370227209,0.4982424776836943,0.5020836604780944,tf=5m,0.31427612554332746,False,0.06849110361418712,5.0,,,,
2.0,82724,2388,1414,-7.253034185967796e-05,0.0016587738166886257,-0.04372527533890589,-0.0002175910255790339,0.0049763214500658775,-0.009971181067708152,0.009535999016550084,0.013933700060184453,0.3452565156423771,0.34532904598423675,0.5020792031333108,tf=5m,0.31427612554332746,False,-0.0006923562049228454,5.0,,,,
4.0,82699,2413,1413,-0.00396014462085394,0.0014195372450098189,-2.7897433721977105,-0.0198007231042697,0.0070976862250490946,-0.03371218810536592,-0.005889258103173475,0.019873521430137465,0.21238467212420947,0.21634481674506342,0.5020858777010605,tf=5m,0.31427612554332746,False,-0.06300422302215218,5.0,,,,
0.5,27722,276,1410,0.011958011687468437,0.002770221381138394,4.316626739251581,0.017937017531202658,0.004155332071707591,0.009792566670655778,0.026081468391749532,0.011634929800781253,0.6683500468941634,0.6563920352066951,0.5035350984777434,tf=15m,0.16579188904901385,False,0.10818995811007287,15.0,,,,
1.0,27689,309,1410,0.00671746903102315,0.0031464861804213233,2.1349113410450964,0.0134349380620463,0.0062929723608426465,0.0011007122347947134,0.02576916388929789,0.01762032261035941,0.5115388782549026,0.5048214092238795,0.5034851385026545,tf=15m,0.16579188904901385,False,0.0810349537550324,15.0,,,,
