label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time
2025Q1,358,283.5,1.26,0.5335,0.0414,0.4431,0.1403,0.0994,-0.00044,1.097,4.51,11.412,10.1,-0.0442,0.1221,0.987,0.878,3.34,2.0,0.993,0.786,0.6,47.2,33.0,19.8
2025Q2,357,244.1,1.46,0.5406,0.0267,0.277,0.1456,0.1185,0.0003,1.063,2.814,6.666,23.52,-0.0764,0.134,0.506,0.418,3.63,3.0,0.927,0.713,0.0,46.5,30.5,23.0
2025Q3,330,260.0,1.27,0.5424,-0.0096,0.259,0.1426,0.1528,-0.00059,0.979,-1.006,-2.367,16.29,-0.1025,0.082,-0.201,-0.179,3.48,3.0,0.931,0.728,0.3,46.4,32.7,20.9
2025Q4,370,201.9,1.83,0.473,-0.1332,-0.1733,-0.0005,0.1319,0.00079,0.746,-14.062,-37.576,48.11,-0.2277,-0.0367,-2.74,-2.024,3.41,3.0,0.895,0.843,0.3,40.0,40.5,19.5
2026Q1,438,289.9,1.51,0.589,0.1108,0.8177,0.2322,0.1189,0.00251,1.285,12.019,27.971,9.18,0.035,0.1887,2.826,2.299,3.42,3.0,1.052,0.709,0.2,52.1,29.0,18.9
2026Q2,399,319.5,1.25,0.4687,-0.1329,-0.1254,0.0355,0.1641,0.00426,0.741,-13.371,-29.439,56.2,-0.2253,-0.0405,-2.813,-2.518,3.79,3.0,0.883,0.814,0.3,40.9,35.8,23.3
2026Q3,214,126.0,1.7,0.514,-0.0948,0.2184,0.0945,0.189,0.00031,0.821,-10.054,-26.019,28.08,-0.226,0.0466,-1.39,-1.066,3.04,2.0,0.874,0.82,0.5,48.6,38.3,13.1
