label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time,k,retest,exec_model,fill_model,signals,invalidated,expired,skipped
k=3.5 rt=0.33 maker/taker conservative,1548,1104.4,1.4,0.5174,-0.0496,0.1321,0.1111,0.1596,0.00109,0.887,-5.377,-11.665,88.6,-0.0924,-0.0078,-2.275,-1.922,3.76,3.0,0.91,0.729,0.3,43.3,31.8,24.9,3.5,0.33,maker/taker,conservative,2305,0,675,82
k=3.5 rt=0.33 taker/taker optimistic,1558,1558.0,1.0,0.6033,0.0475,0.378,0.3631,0.3145,0.001,1.139,3.855,3.068,42.66,-0.0242,0.1042,1.471,1.471,3.45,3.0,1.412,0.571,0.2,53.9,16.5,29.6,3.5,0.33,taker/taker,optimistic,2322,0,681,83
k=3.5 rt=0.33 maker/maker+delay optimistic,1376,1056.3,1.3,0.5102,-0.0368,0.025,0.0846,0.1202,0.00118,0.916,-3.776,-8.651,62.5,-0.0799,0.0061,-1.684,-1.475,4.01,4.0,0.852,0.743,0.2,40.6,31.5,27.8,3.5,0.33,maker/maker+delay,optimistic,2334,0,766,192
k=3.5 rt=0.33 maker/maker+delay conservative,1372,1054.7,1.3,0.508,-0.0397,0.0167,0.0816,0.1202,0.00109,0.91,-4.072,-9.306,64.08,-0.0832,0.0034,-1.779,-1.56,4.02,4.0,0.848,0.745,0.2,40.5,31.6,27.9,3.5,0.33,maker/maker+delay,conservative,2335,0,771,192
k=3.5 rt=0.5 maker/maker optimistic,1183,973.9,1.21,0.5385,-0.038,0.4629,0.1181,0.1565,-0.00041,0.923,-4.149,-11.342,66.06,-0.092,0.0173,-1.339,-1.214,2.94,2.0,1.016,0.838,0.8,49.5,37.7,12.8,3.5,0.5,maker/maker,optimistic,2384,0,1068,133
k=3.5 rt=0.5 maker/maker conservative,1178,968.7,1.22,0.5382,-0.039,0.461,0.117,0.1564,-0.00048,0.921,-4.257,-11.687,67.81,-0.0937,0.016,-1.376,-1.248,2.95,2.0,1.012,0.84,0.8,49.4,37.8,12.8,3.5,0.5,maker/maker,conservative,2388,0,1075,135
k=3.5 rt=0.5 maker/taker optimistic,1183,961.8,1.23,0.5368,-0.0968,0.2957,0.1181,0.2153,-0.00041,0.804,-11.146,-28.577,127.14,-0.1497,-0.043,-3.499,-3.155,2.94,2.0,1.016,0.838,0.8,49.5,37.7,12.8,3.5,0.5,maker/taker,optimistic,2384,0,1068,133
k=3.5 rt=0.5 maker/taker conservative,1178,955.7,1.23,0.5365,-0.0977,0.3019,0.117,0.2151,-0.00048,0.803,-11.238,-28.939,127.68,-0.1516,-0.0437,-3.527,-3.177,2.95,2.0,1.012,0.84,0.8,49.4,37.8,12.8,3.5,0.5,maker/taker,conservative,2388,0,1075,135
k=3.5 rt=0.5 taker/taker optimistic,1192,1192.0,1.0,0.6669,0.0817,0.5176,0.4903,0.4077,0.00091,1.239,6.983,4.951,43.09,-0.0107,0.1566,1.902,1.902,2.51,1.0,1.745,0.577,0.3,65.5,16.3,18.2,3.5,0.5,taker/taker,optimistic,2401,0,1074,135
k=3.5 rt=0.5 maker/maker+delay optimistic,1105,915.6,1.21,0.5439,-0.0221,0.4466,0.1321,0.1541,9e-05,0.954,-2.396,-6.18,50.91,-0.0761,0.0316,-0.797,-0.726,3.07,2.0,0.999,0.818,0.6,49.2,36.1,14.7,3.5,0.5,maker/maker+delay,optimistic,2400,0,1067,228
k=3.5 rt=0.5 maker/maker+delay conservative,1104,915.0,1.21,0.5435,-0.0238,0.4249,0.1304,0.1542,2e-05,0.95,-2.581,-6.695,51.56,-0.0776,0.0312,-0.854,-0.778,3.07,2.0,1.001,0.82,0.6,49.2,36.2,14.6,3.5,0.5,maker/maker+delay,conservative,2401,0,1069,228
