label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time
BTCUSD,671,671.0,1.0,0.5574,-0.0174,0.504,0.1726,0.1862,0.00385,0.962,-1.818,-4.222,34.69,-0.0956,0.0587,-0.446,-0.446,3.41,3.0,0.972,0.744,0.3,48.4,32.2,19.4
ETHUSD,640,640.0,1.0,0.5,-0.0497,-0.0133,0.0764,0.1264,-0.00022,0.892,-5.207,-11.895,40.37,-0.1239,0.024,-1.329,-1.329,3.64,3.0,0.919,0.772,0.3,42.5,34.7,22.8
SOLUSD,568,568.0,1.0,0.5035,-0.0377,0.063,0.0717,0.1079,0.00143,0.92,-3.956,-10.331,34.05,-0.1058,0.035,-1.033,-1.033,3.47,3.0,0.951,0.793,0.5,44.5,36.4,19.0
XRPUSD,587,566.8,1.04,0.5332,0.0206,0.4564,0.1358,0.1158,-0.00058,1.047,2.205,5.568,14.94,-0.0616,0.0994,0.494,0.486,3.36,2.0,0.929,0.775,0.0,47.9,32.7,19.4
