symbol,third,start,end,horizon,endpoint,n_shock,n_base,unstratified_ratio,stratified_ratio
BTCUSD,1,2025-01-01,2025-07-16,30,raw,1699,97742,1.2797309071154848,1.0905374005988073
BTCUSD,2,2025-07-16,2026-01-28,30,raw,1902,97177,1.2690957379592944,1.0733971731743952
BTCUSD,3,2026-01-28,2026-08-12,30,raw,1764,83675,1.244156433682647,0.9838053042698638
ETHUSD,1,2025-01-01,2025-07-16,30,raw,1917,105857,1.1657718069068297,0.9942598520060077
ETHUSD,2,2025-07-16,2026-01-28,30,raw,1715,99847,1.2894730963050633,1.0349754431703264
ETHUSD,3,2026-01-28,2026-08-12,30,raw,1848,84337,1.2859588644838447,1.0244573055560577
