day,symbol,side
2026-02-25 00:00:00+00:00,BCHUSD,LONG
2026-02-25 00:00:00+00:00,SOLUSD,SHORT
2026-02-25 00:00:00+00:00,ETHUSD,SHORT
2026-02-25 00:00:00+00:00,RIVERUSD,SHORT
2026-03-27 00:00:00+00:00,RIVERUSD,LONG
2026-03-27 00:00:00+00:00,VVVUSD,LONG
2026-03-27 00:00:00+00:00,AINUSD,LONG
2026-03-27 00:00:00+00:00,PAXGUSD,SHORT
2026-03-27 00:00:00+00:00,KITEUSD,SHORT
2026-03-27 00:00:00+00:00,PIPPINUSD,SHORT
2026-04-26 00:00:00+00:00,MUSD,LONG
2026-04-26 00:00:00+00:00,ZECUSD,LONG
2026-04-26 00:00:00+00:00,VVVUSD,LONG
2026-04-26 00:00:00+00:00,AAVEUSD,SHORT
2026-04-26 00:00:00+00:00,PIPPINUSD,SHORT
2026-04-26 00:00:00+00:00,RIVERUSD,SHORT
2026-05-26 00:00:00+00:00,VVVUSD,LONG
2026-05-26 00:00:00+00:00,ZECUSD,LONG
2026-05-26 00:00:00+00:00,HUSD,LONG
2026-05-26 00:00:00+00:00,AIOTUSD,LONG
2026-05-26 00:00:00+00:00,ETHUSD,SHORT
2026-05-26 00:00:00+00:00,MUSD,SHORT
2026-05-26 00:00:00+00:00,SIRENUSD,SHORT
2026-05-26 00:00:00+00:00,RAVEUSD,SHORT
2026-06-25 00:00:00+00:00,LABUSD,LONG
2026-06-25 00:00:00+00:00,BEATUSD,LONG
2026-06-25 00:00:00+00:00,WLDUSD,LONG
2026-06-25 00:00:00+00:00,HYPEUSD,LONG
2026-06-25 00:00:00+00:00,RIVERUSD,SHORT
2026-06-25 00:00:00+00:00,ZECUSD,SHORT
2026-06-25 00:00:00+00:00,HUSD,SHORT
2026-06-25 00:00:00+00:00,SIRENUSD,SHORT
2026-07-25 00:00:00+00:00,BEATUSD,LONG
2026-07-25 00:00:00+00:00,ZECUSD,LONG
2026-07-25 00:00:00+00:00,AAVEUSD,LONG
2026-07-25 00:00:00+00:00,ETHUSD,LONG
2026-07-25 00:00:00+00:00,SPCXXUSD,SHORT
2026-07-25 00:00:00+00:00,MUSD,SHORT
2026-07-25 00:00:00+00:00,SKYAIUSD,SHORT
2026-07-25 00:00:00+00:00,LABUSD,SHORT
2026-08-24 00:00:00+00:00,ZECUSD,LONG
2026-08-24 00:00:00+00:00,AAVEUSD,LONG
2026-08-24 00:00:00+00:00,HUSD,SHORT
2026-08-24 00:00:00+00:00,BEATUSD,SHORT
