underlying,expiry_ts,expiry,entry_ts,spot_at_entry,strike,call_symbol,put_symbol,call_premium,put_premium,straddle_premium,call_settlement,put_settlement,straddle_payout,contract_value,tick_size,taker_fee,realised_abs_move,premium_frac_of_spot,gross_return_on_premium,cost_frac_of_premium,net_return_on_premium,entry_time_utc,entry_time_ist,exit_time_utc,exit_reason,win
ETH,1708344000,2024-02-19 12:00:00+00:00,1708257600,2802.49,2800.0,C-ETH-2800-190224,P-ETH-2800-190224,23.117454,20.895621,44.013075,113.103793103448,0.0,113.103793103448,0.01,0.01,0.0003,113.103793103448,0.0157049891346623,-1.5697771197183563,0.11696243105031856,-1.6867395507686749,2024-02-18 12:00:00+00:00,2024-02-18 17:30:00+05:30,2024-02-19 12:00:00+00:00,settlement,False
ETH,1708430400,2024-02-20 12:00:00+00:00,1708344000,2906.67,2900.0,C-ETH-2900-200224,P-ETH-2900-200224,37.508918,27.568831,65.077749,34.147241379311,0.0,34.147241379311,0.01,0.01,0.0003,34.147241379311,0.0223891081546924,0.4752854561808676,0.09004503817733463,0.385240418003533,2024-02-19 12:00:00+00:00,2024-02-19 17:30:00+05:30,2024-02-20 12:00:00+00:00,settlement,True
ETH,1708516800,2024-02-21 12:00:00+00:00,1708430400,2934.49,2940.0,C-ETH-2940-210224,P-ETH-2940-210224,36.142535,37.05208,73.194615,0.0,36.4906896551724,36.4906896551724,0.01,0.01,0.0003,36.4906896551724,0.0249428742302751,0.5014566350929996,0.08356972055936082,0.4178869145336388,2024-02-20 12:00:00+00:00,2024-02-20 17:30:00+05:30,2024-02-21 12:00:00+00:00,settlement,True
ETH,1708603200,2024-02-22 12:00:00+00:00,1708516800,2900.03,2900.0,C-ETH-2900-220224,P-ETH-2900-220224,36.475148,42.968866,79.444014,89.374827586207,0.0,89.374827586207,0.01,0.01,0.0003,89.374827586207,0.0273942041978876,-0.1250039252322649,0.07848976582678716,-0.20349369105905205,2024-02-21 12:00:00+00:00,2024-02-21 17:30:00+05:30,2024-02-22 12:00:00+00:00,settlement,False
ETH,1708689600,2024-02-23 12:00:00+00:00,1708603200,2989.22,2980.0,C-ETH-2980-230224,P-ETH-2980-230224,47.179121,36.982143,84.161264,0.0,37.257931034482,37.257931034482,0.01,0.01,0.0003,37.257931034482,0.0281549246960745,0.5573030957034819,0.07709315529291479,0.48020994041056714,2024-02-22 12:00:00+00:00,2024-02-22 17:30:00+05:30,2024-02-23 12:00:00+00:00,settlement,True
ETH,1708776000,2024-02-24 12:00:00+00:00,1708689600,2938.49,2940.0,C-ETH-2940-240224,P-ETH-2940-240224,35.29833,36.120484,71.418814,22.0241379310346,0.0,22.0241379310346,0.01,0.01,0.0003,22.0241379310346,0.0243045965785148,0.6916199430162113,0.08506058438886985,0.6065593586273414,2024-02-23 12:00:00+00:00,2024-02-23 17:30:00+05:30,2024-02-24 12:00:00+00:00,settlement,True
ETH,1708862400,2024-02-25 12:00:00+00:00,1708776000,2959.44,2960.0,C-ETH-2960-250224,P-ETH-2960-250224,13.898103,14.310843,28.208946,74.848620689655,0.0,74.848620689655,0.01,0.01,0.0003,74.848620689655,0.0095318526477982,-1.653364669833995,0.17535454152735797,-1.8287192113613528,2024-02-24 12:00:00+00:00,2024-02-24 17:30:00+05:30,2024-02-25 12:00:00+00:00,settlement,False
ETH,1708948800,2024-02-26 12:00:00+00:00,1708862400,3043.78,3040.0,C-ETH-3040-260224,P-ETH-3040-260224,30.379369,23.673978,54.053347,16.2410344827576,0.0,16.2410344827576,0.01,0.01,0.0003,16.2410344827576,0.0177586248020553,0.6995369318618216,0.1065359038654905,0.5930010279963311,2024-02-25 12:00:00+00:00,2024-02-25 17:30:00+05:30,2024-02-26 12:00:00+00:00,settlement,True
ETH,1709035200,2024-02-27 12:00:00+00:00,1708948800,3055.45,3060.0,C-ETH-3060-270224,P-ETH-3060-270224,34.447813,39.407585,73.855398,192.71,0.0,192.71,0.01,0.01,0.0003,192.71,0.0241716925493789,-1.609287949406217,0.08538092051714352,-1.6946688699233605,2024-02-26 12:00:00+00:00,2024-02-26 17:30:00+05:30,2024-02-27 12:00:00+00:00,settlement,False
ETH,1709121600,2024-02-28 12:00:00+00:00,1709035200,3252.71,3260.0,C-ETH-3260-280224,P-ETH-3260-280224,38.98023,47.109514,86.089744,61.060344827586,0.0,61.060344827586,0.01,0.01,0.0003,61.060344827586,0.0264670825250329,0.2907361319649643,0.08030041881876196,0.21043571314620232,2024-02-27 12:00:00+00:00,2024-02-27 17:30:00+05:30,2024-02-28 12:00:00+00:00,settlement,True
