symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,target_r,stop_mult
BANKUSD,atr_arm,5,1,1245719458bf,6009,415,ok,33,1.581627558662007,20.864583333333332,0,16,10000.0,571.4646996405227,10571.464699640517,5.714646996405227,4.060062525524263,55.910717034,-51.502416674523104,519.9622829659984,1492.3555536459626,-920.8908540054401,99.49037024306418,-51.16060300030223,120.58017568847028,-56.77242826421116,1.6205563853250589,0.45454545454545453,0.3447852667759667,-0.17423394211984816,0.8346424472960575,0.3843536282544409,0.03956836147847414,86.36363636363636,424.9942568343682,0.12437507597318576,0.0,2.0,4.0
BANKUSD,wpr_only,5,1,5536e003be2a,6009,2081,ok,171,8.19570644033949,20.864583333333332,31,555,10000.0,-1222.3542912314365,8777.645708768561,-12.223542912314365,13.671399792667238,475.230045612,35.5592456194328,-1186.7950456120034,3456.4609734107366,-4678.815264642171,44.31360222321457,-50.30984155529217,52.810508310273,-65.38954408560808,0.7387470498207588,0.45614035087719296,-0.1508477189215032,-0.29774293173199573,0.00623620881839622,-0.0789539226989193,0.0718937962225839,12.32748538011696,256.64115263394916,0.2269386702111658,0.0,1.0,2.0
BANKUSD,wpr_only,5,1,d4527a09260f,6009,1398,ok,64,3.067398901647529,20.864583333333332,0,121,10000.0,-297.0130785842723,9702.986921415726,-2.970130785842723,5.636593698980958,130.99900323,-33.6439246457294,-330.6570032300042,1480.9997598690095,-1778.0128384532816,49.36665866230032,-52.29449524862593,60.0268169988394,-62.42153786018052,0.8329522306246968,0.46875,-0.09168794774022117,-0.34482171794259536,0.16439440058233462,-0.04269300302015825,0.048994944720062904,37.21875,398.84989272060295,0.15456461211856432,0.0,1.0,4.0
BANKUSD,wpr_only,5,1,461613bee59c,6009,2081,ok,125,5.99101347978033,20.864583333333332,26,391,10000.0,-1180.4495538930776,8819.5504461069,-11.804495538930777,16.55457055960669,371.39656172800005,-12.792007834923805,-1193.2415617280203,3330.0796521867833,-4510.529206079861,92.50221256074398,-50.68010343909956,105.69683084974292,-65.88538354628028,0.7382902315981196,0.288,-0.196483089093483,-0.44208281418763024,0.05145095679807057,-0.12458690021886844,0.07189618887461455,22.096,264.35357290375947,0.22713298351956454,0.0,2.0,2.0
BANKUSD,wpr_only,5,1,247ec2c731ff,6009,1398,ok,41,1.965052421367948,20.864583333333332,0,51,10000.0,71.43498134175215,10071.434981341758,0.7143498134175215,5.180904392927025,90.479381802,-3.9903631437523894,67.44461819800199,1489.5327936343044,-1418.0978122925521,99.30218624228696,-54.54222354971354,115.69627696427976,-68.67176964788396,1.050373804065227,0.36585365853658536,0.04330901486579728,-0.40317146456517006,0.5057620602956757,0.09135243085313643,0.04804341598733912,69.53658536585365,444.14075845575644,0.15164699711164897,0.0,2.0,4.0
BANKUSD,adx_only,5,1,8822505d8858,6009,162,ok,55,2.6360459311033453,20.864583333333332,3,33,10000.0,-118.09831286556818,9881.901687134441,-1.1809831286556818,3.8124646872832875,148.16262284799996,13.882690017567601,-104.21562284798893,1344.3328223731141,-1462.4311352386828,48.01188651332551,-54.16411611995122,55.93743649952546,-73.03542115223915,0.9192452143421482,0.509090909090909,-0.039674642259147214,-0.32938997447908996,0.22359991361025425,0.02600223857330934,0.06567688083245656,13.545454545454545,274.0341419586685,0.2071321836052414,0.0,1.0,2.0
BANKUSD,adx_only,5,1,88d2c6a947a0,6009,104,ok,23,1.1023464802795806,20.864583333333332,0,8,10000.0,12.569527163009262,10012.56952716301,0.12569527163009261,2.63461845899703,48.329415088000005,-13.000942251009,-0.4314150879981753,592.6756666455847,-580.1061394825754,49.38963888713206,-52.736921771143216,56.02540225364844,-64.76334300047914,1.0216676333993304,0.5217391304347826,0.01432495178423681,-0.4147957342757732,0.44392052779331537,0.06313843490280928,0.048813483118572434,44.30434782608695,389.1366031617345,0.1541924223805075,0.0,1.0,4.0
BANKUSD,adx_only,5,1,b5acf63ba5bf,6009,162,ok,48,2.3005491762356467,20.864583333333332,2,24,10000.0,166.03259149786035,10166.03259149787,1.6603259149786036,7.026792121437589,136.24042575800001,-10.346017255860302,155.68657424200683,1779.7498314983056,-1613.7172400004447,98.87499063879476,-53.790574666681486,112.27580612277339,-72.63412762942465,1.1028882801659943,0.375,0.07382635450671804,-0.3522374979426157,0.5203727315284536,0.13964071723085483,0.06581436272413682,25.0,262.868122949042,0.20749894021582374,0.0,2.0,2.0
BANKUSD,adx_only,5,1,8f0add012268,6009,104,ok,20,0.9585621567648528,20.864583333333332,0,6,10000.0,239.96043749654956,10239.960437496546,2.3996043749654956,2.2167570293641963,47.634167954,-13.3396054505492,226.6208320459973,840.0250988766988,-600.0646613801493,93.33612209741098,-54.55133285274085,104.66124233699504,-66.01119161320513,1.3998909666578936,0.45,0.2420659308761443,-0.36844154033688203,0.8799110639577358,0.29421522712436526,0.05214929624822097,77.3,316.684571958206,0.1646458691329116,0.0,2.0,4.0
ETHUSD,atr_arm,5,1,ae190a209e26,169475,23918,ok,511,0.8683758666469982,588.4548611111111,21530,693,10000.0,-3048.7489130422346,6951.251086957776,-30.487489130422347,31.399992401676734,2224.039583534,-3.4341704917910496,-3052.1830835340097,9527.744814857571,-12576.493727899804,38.730669979095815,-47.45846689773511,45.87470260799939,-57.320366150000794,0.7575835539695089,0.48140900195694714,-0.14033638043874988,-0.22932231591042,-0.05033681323182115,-0.016525814472719832,0.12381056596603006,18.031311154598825,121.96657612117376,0.3905753953502326,0.0,1.0,2.0
ETHUSD,atr_arm,5,1,fba2f87a03ea,169475,23895,ok,1437,2.4419884938781533,588.4548611111111,7293,1953,10000.0,-3871.2410965248628,6128.758903475122,-38.71241096524863,42.3995341667756,5620.618157965,-4.492061440127256,-3875.7331579650127,29718.165213884,-33589.40631040887,40.934111864853996,-47.24248426217844,50.564242587119466,-60.071386547421,0.8847481536068343,0.5052192066805845,-0.06585517260082996,-0.11713515510929173,-0.014056998731013872,0.04166048530056884,0.1075156579013988,65.86360473208073,141.19452615424038,0.3388535941412697,0.0,1.0,4.0
