factor,universe,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
illiquidity,illiquid_half,573,-17.03901442871325,3.3128854479650336,-20.35189987667828,13.810550148787355,-1.4736487437081058,-1.5440309332390099,-1.8457640241254232,0.06492647638062869,0.0015625,False
illiquidity,liquid_half,573,-30.249746800040135,2.5840446485080713,-32.8337914485482,24.479572217926705,-1.3412730890984927,-1.5485473580861657,-1.6799618124439173,0.09296474591000974,0.003125,False
momentum_30d,illiquid_half,573,-14.176467513788088,9.309469648622898,-23.485937162410995,18.341040761547983,-1.2805127837483081,-0.9681749924641829,-1.6038587477284763,0.10874519161219634,0.004687500000000001,False
illiquidity,all,573,-18.91278461756226,1.3145738489308392,-20.227358466493097,17.275545743887204,-1.170866539695301,-1.370378377916463,-1.4665254154010792,0.1425052024560061,0.00625,False
carry,all,597,-46.9127696358183,3.1733818970846293,-50.086151532902925,47.18901682765735,-1.0613942586646044,-1.2709507683734513,-1.3569654413347012,0.17479219150954634,0.0078125,False
carry,illiquid_half,73,-93.69175519544672,9.32838493150685,-103.02014012695356,42.56037273320879,-2.4205648003305558,-0.9856604072205613,-1.0821389554002105,0.2791907884110991,0.009375000000000001,False
reversal_1d,illiquid_half,574,56.408542781822234,41.35040077170989,15.05814201011233,17.66243095008087,0.8525520667382076,4.009008578098137,1.0687638246258726,0.28517610382692143,0.010937500000000001,False
momentum_90d,illiquid_half,513,-9.099811083961859,6.088625572761497,-15.188436656723361,16.954570005610282,-0.895831427850868,-0.6360100205762972,-1.061670780258391,0.28838516882320575,0.0125,False
momentum_90d,liquid_half,513,-19.381941641454898,5.330008838630321,-24.711950480085225,27.682922921635402,-0.8926785133939655,-0.8299714349222665,-1.0579341875831618,0.29008544758189425,0.0140625,False
carry,liquid_half,574,-29.420932347028867,3.8864384737431563,-33.30737082077203,41.91761520565663,-0.7945912632996669,-0.8796309415232688,-0.996103851847477,0.3191996885446561,0.015625,False
momentum_90d,all,513,-10.834617562811701,4.181379903368081,-15.015997466179781,18.258596114455194,-0.8224070115824362,-0.7035442487847604,-0.9746537870091879,0.32973202355446746,0.0171875,False
reversal_7d,illiquid_half,574,27.067221752520002,16.863156637799612,10.204065114720386,17.887878375366274,0.5704458013742194,1.8996267505989937,0.7151139035426126,0.4745386634017432,0.018750000000000003,False
illiquidity,tradeable_1m,573,-17.810389347827307,3.4043099119939106,-21.21469925982122,38.704054806142004,-0.5481260133099705,-0.5764372304117975,-0.6865348885712699,0.4923758715263307,0.0203125,False
low_volatility,tradeable_1m,573,29.493795242315315,3.753239701757667,25.74055554055764,48.15957349680943,0.5344847072257181,0.7668318419825082,0.6694489770744502,0.503209117962436,0.021875000000000002,False
size_small,illiquid_half,574,-2.9381716654059664,4.289724594798633,-7.227896260204602,15.048116291947412,-0.4803190060454551,-0.2447042194350078,-0.6021304715214203,0.5470872926189372,0.0234375,False
low_volatility,illiquid_half,573,-5.979655235240333,4.375706057727647,-10.355361292967986,22.12649384537747,-0.4680073293732148,-0.33873128841254146,-0.586185205444861,0.5577510625935632,0.025,False
reversal_7d,liquid_half,574,3.7518618554502563,14.81429786884619,-11.062436013395933,27.54066811480763,-0.4016763851654005,0.17080736008429082,-0.5035436619299082,0.6145820909089044,0.026562500000000003,False
size_small,all,574,-3.935569296681107,1.601015309891734,-5.536584606572849,16.466298941077874,-0.33623734309602105,-0.2992053940616826,-0.4215089292601446,0.6733834922670888,0.028125,False
reversal_7d,all,596,21.461163334788193,14.711029120985957,6.7501342138022355,20.817026568696242,0.3242602487692839,1.317771807634321,0.41421109638778153,0.6787195160082717,0.029687500000000002,False
momentum_30d,all,573,1.1337181357197545,7.119840744199275,-5.986122608479521,19.11710323958133,-0.31312916677069835,0.07425734150700622,-0.3921983127915626,0.6949116906705445,0.03125,False
