symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult
AKEUSD,hwpr_v2,1,1,d0d990e07b5d,30046,2130.0,ok,169.0,8.099580643014045,20.865277777777777,178.0,198.0,10000.0,-1829.9883009238374,8171.164668916581,-18.299883009238375,22.68628005673944,488.3765366800001,17.269764243833606,-1813.7382291800131,4145.806798254146,-5975.795099177984,90.12623474465535,-48.58369999331695,105.9900196435794,-77.93303454557166,0.6937665581646922,0.27218934911242604,-0.23732541889946304,-0.4288617597503924,-0.03661234380184787,-0.16714848839336457,0.07017693050609844,104.92899408284023,266.0538294957345,0.22030415145836876,0.0,
AKEUSD,atr_arm,1,1,56f6ae1069b6,30046,6636.0,ok,321.0,15.38441057045863,20.865277777777777,3286.0,721.0,10000.0,-2251.6505316358907,7748.349468364103,-22.516505316358906,25.912531931034167,1259.418442224,46.4720894118853,-2056.1355354040097,8700.770925994566,-10952.421457630455,87.00770925994566,-49.55846813407446,101.02064502600011,-82.85222617354701,0.7944152769918122,0.3115264797507788,-0.15580739796955595,-0.30007301036176326,-0.0012172801175797635,-0.057453785875300596,0.09835361209425536,31.39252336448598,155.48484643332705,0.3094326987076953,0.3115264797507788,
AKEUSD,flip,1,1,5434cfafbbc2,30046,341.0,ok,193.0,9.249816947347401,20.865277777777777,0.0,24.0,10000.0,-115.94423070627943,9884.055769293698,-1.1594423070627942,15.125575639530691,824.213262144,31.148968562278096,-84.79526214401994,6239.606464687036,-6355.550695393315,89.1372352098148,-51.671143864986306,101.745777920793,-86.47766958375806,0.9817570126865137,0.3626943005181347,-0.006906105264973718,-0.21676834562773487,0.20394117961384498,0.09833688518678688,0.10524299045176061,53.751295336787564,150.12617809136395,0.3310278875023886,0.0,
AKEUSD,trend_pure,1,1,8bb3583aafa1,30046,881.0,ok,175.0,8.387139719097384,20.865277777777777,196.0,69.0,10000.0,-2773.2774543946152,7227.760218461775,-27.732774543946153,29.18202288049587,508.18335424399993,28.6461001506137,-2745.5490774940017,3295.668882925743,-6068.946337320358,80.38216787623765,-45.29064430836088,99.13161518924164,-71.15624893291326,0.5430380662058862,0.2342857142857143,-0.37096640444416573,-0.5482628084298783,-0.17512560326461807,-0.2940763324180793,0.07689007202608648,79.80571428571429,221.72680349916294,0.2413054913942924,0.0,
AKEUSD,st_only,1,1,7af527e08725,30046,2070.0,ok,252.0,12.077481195500233,20.865277777777777,993.0,165.0,10000.0,-1773.0516002472987,8224.446864752701,-17.73051600247299,21.06762115339148,900.2284403220001,-39.111840074698804,-1814.6649753219945,6547.871092457088,-8320.922692704386,83.94706528791139,-47.82139478565739,117.16125945393438,-70.02678466413685,0.7869164675929662,0.30952380952380953,-0.15061450885679656,-0.3261372225282143,0.027844224169720246,-0.05867332781159088,0.09194118104520568,44.51587301587302,174.14042163885472,0.28904068536653477,0.0,
AKEUSD,adx_only,1,1,13bd4d06debd,30046,919.0,ok,171.0,8.19543366837516,20.865277777777777,458.0,81.0,10000.0,-1731.3545432743117,8268.645456725704,-17.313545432743116,20.538684452499897,675.2146537899999,82.7098894843066,-1497.702086013991,4448.8289595911,-6180.183502865411,88.976579191822,-51.075896717895965,99.54846304799997,-83.80455061232342,0.7198538615444707,0.29239766081871343,-0.2187868493005094,-0.42686727532643626,-0.017889555035273497,-0.12314057027080955,0.09564627902969981,30.71345029239766,162.5871532413596,0.3010176120906261,0.5847953216374269,
AKEUSD,wpr_only,1,1,101048028d83,30046,12619.0,ok,329.0,15.767822671903083,20.865277777777777,5569.0,1384.0,10000.0,-760.0494136512998,9239.950586348688,-7.600494136512998,17.716355383877953,1436.3626289699998,89.6827846812935,-523.8934274400108,11232.446597976941,-11992.49601162824,97.67344867806035,-56.03970098891701,115.4567506399233,-88.56617280620543,0.936622917121312,0.3495440729483283,-0.043039608739156646,-0.2000511544586089,0.10994544926260612,0.05556919274731214,0.0986088014864688,35.495440729483285,154.90248795317797,0.3103213149805571,0.303951367781155,
AKEUSD,hwpr_no_confirm,1,1,c11a3456299c,30046,2130.0,ok,169.0,8.099580643014045,20.865277777777777,178.0,198.0,10000.0,-1829.9883009238374,8171.164668916581,-18.299883009238375,22.68628005673944,488.3765366800001,17.269764243833606,-1813.7382291800131,4145.806798254146,-5975.795099177984,90.12623474465535,-48.58369999331695,105.9900196435794,-77.93303454557166,0.6937665581646922,0.27218934911242604,-0.23732541889946304,-0.4288617597503924,-0.03661234380184787,-0.16714848839336457,0.07017693050609844,104.92899408284023,266.0538294957345,0.22030415145836876,0.0,
AKEUSD,st_flip_atr,1,1,1c8d76effdaf,30046,2095.0,ok,271.0,12.988084936430807,20.865277777777777,1247.0,202.0,10000.0,-1314.7692304431491,8685.23076955684,-13.14769230443149,20.463239823613804,1023.8306993760001,-41.741468932853294,-1356.510699376011,7267.346337421951,-8582.115567865101,81.65557682496573,-47.15448114211594,98.19387121791304,-74.28130622455939,0.846801267118078,0.3284132841328413,-0.09961758317662275,-0.2695459160228881,0.06901336047512227,0.0005168810369497963,0.10013446421357255,27.59040590405904,154.04430705821642,0.3148056314359146,0.0,
AKEUSD,flip_wide,1,1,2d98145bd9e7,30046,335.0,ok,111.0,5.319842907541769,20.865277777777777,88.0,17.0,10000.0,66.0192579539723,10066.019257953974,0.660192579539723,7.8048619748341945,345.95415457799993,19.6775874680263,85.69684542200412,3756.1743960460362,-3690.1551380920637,93.90435990115091,-51.97401602946569,101.32486303696848,-67.53408114493803,1.017890645645892,0.36036036036036034,0.013651717026826576,-0.240917094003753,0.28618762736024095,0.08796945683800973,0.07431773981118313,110.73873873873873,244.12866842281,0.2331073692342388,0.0,
