family,timeframe_min,gates,symbols,trades,window_used_pct,halts,trades_per_day,total_pnl,final_equity,return_pct,max_dd_pct,win_rate,net_r,net_r_lo,net_r_hi,profit_factor,fees,funding_paid,gross_r,rej_max_open_positions,rej_max_trades_per_day,rej_max_daily_loss,rej_max_drawdown,rej_max_consecutive_losses,rej_zero_contracts,rej_cost_per_r,rej_stop_too_close
manual_scalp,5,ungated,3,802,99.98413680420057,0,3.664017512968163,-1478.7305836488695,8521.269416351162,-14.787305836488695,20.815026758109262,0.4975062344139651,-0.038496906486463436,-0.10887230598394666,0.028299304484061955,0.9213977007709722,1273.17101843,40.370565218870496,0.003951220884305192,3741,0,0,0,0,0,3,0
manual_scalp,5,live_defaults,3,118,25.412839670680054,1,0.5390948460476848,-646.2706624522234,9353.729337547777,-6.462706624522234,10.073791738437215,0.4576271186440678,-0.11076490993838166,-0.28676456460144517,0.0703561002404942,0.8026344714101314,239.471592034,-32.608929581777396,-0.06257086270435426,0,0,0,23097,286,0,0,0
manual_scalp,5,production,3,118,25.412839670680054,1,0.5390948460476848,-646.2706624522234,9353.729337547777,-6.462706624522234,10.073791738437215,0.4576271186440678,-0.11076490993838166,-0.28676456460144517,0.0703561002404942,0.8026344714101314,239.471592034,-32.608929581777396,-0.06257086270435426,0,0,0,23097,286,0,0,0
manual_scalp,5,two_per_day,3,163,45.53054458351179,1,0.7446818636082425,-789.8922719904517,9210.107728009547,-7.898922719904518,10.127688796040037,0.4723926380368098,-0.09853835276970797,-0.2630560982609475,0.05381027326307807,0.8207404830691702,319.672119656,-14.757847665549102,-0.05073988074165273,0,4766,0,17725,0,0,0,0
manual_scalp,5,tight,3,45,14.211837116705532,1,0.20558701756055775,-239.80530470874243,9760.194695291262,-2.398053047087424,5.149177233750105,0.4666666666666667,-0.10508042365134332,-0.4021399806456367,0.18829673729288215,0.8138654655891375,113.340571596,-24.5252668872571,-0.046062094367805895,0,1206,45,25832,0,0,0,0
manual_scalp,5,tight_resume_7d,3,333,99.85723123780517,4,1.5213439299481275,-1355.3757927479535,8644.624207252042,-13.553757927479534,19.118265963361,0.4804804804804805,-0.08542259340208624,-0.194967741242032,0.026198058785035578,0.838128454049119,644.727249108,24.211543639955707,-0.035084228114758434,603,14032,45,3232,0,0,2,0
manual_scalp_banded,5,ungated,3,600,99.98413680420057,0,2.74116023414077,-878.8598430808925,9121.140156919075,-8.788598430808925,17.18365493929023,0.5016666666666667,-0.029075701402193146,-0.10391898461965356,0.04920170224477265,0.9411108841853645,993.95125497,-131.10741188911038,0.01194510361257469,1369,0,0,0,0,0,3,0
manual_scalp_banded,5,live_defaults,3,328,72.01097733149321,1,1.4985009279969543,-661.9813426244823,9338.018657375504,-6.619813426244823,10.076422684821955,0.4969512195121951,-0.04081724246156144,-0.14630870598832102,0.0740611112905341,0.9209309916939813,561.7807535060001,-110.231410881523,0.0007290364551641949,0,0,0,4387,148,0,3,0
manual_scalp_banded,5,production,3,328,72.01097733149321,1,1.4985009279969543,-661.9813426244823,9338.018657375504,-6.619813426244823,10.076422684821955,0.4969512195121951,-0.04081724246156144,-0.14630870598832102,0.0740611112905341,0.9209309916939813,561.7807535060001,-110.231410881523,0.0007290364551641949,0,0,0,4387,148,0,3,0
manual_scalp_banded,5,two_per_day,3,266,79.70938625295452,1,1.215247703802408,-992.0073222893034,9007.99267771069,-9.920073222893034,10.409446400042807,0.48120300751879697,-0.07773060447104656,-0.19881352125948135,0.0413507423142601,0.8516496321057041,434.493310168,-65.5989878787,-0.03620709597626982,0,2479,0,3754,0,0,3,0
manual_scalp_banded,5,tight,3,35,11.824426148891956,1,0.15990101365821158,-449.8201067695086,9550.179893230494,-4.498201067695086,5.017029406473114,0.4,-0.2607250093123403,-0.5776726416998692,0.08556097032640049,0.5895485530576813,81.344748048,24.6003587215088,-0.204055143753807,0,271,64,10286,0,0,0,0
manual_scalp_banded,5,tight_resume_7d,3,316,99.90164818604356,4,1.443677723314139,-1441.9356907566903,8558.064309243298,-14.419356907566902,14.8842870280842,0.47151898734177217,-0.09754385659146096,-0.2102988297177809,0.013017059859212296,0.8232717063345473,543.232419826,-75.37472906931401,-0.0541237213251785,181,4048,64,1689,14,0,3,0
