symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,target_r,stop_mult
BEATUSD,atr_arm,5.0,1.0,1567baf6f48c,62961.0,7452.0,ok,1412.0,6.458855481965026,218.61458333333334,167.0,1698.0,10000.0,-3943.3146211482417,6056.685378851764,-39.433146211482416,40.65913355379681,3343.81315438,-38.732533231758495,-3751.7856652300143,17076.457971493117,-21019.77259264136,18.401355572729653,-43.42928221620115,35.915417127539705,-63.54505608125481,0.812399748676219,0.6572237960339944,-0.07029062735581344,-0.11065632633851877,-0.03270223889207192,0.005323437735631726,0.07561406509144515,6.257082152974505,223.28721583736962,0.23808773640364564,0.28328611898017,0.5,2.0
BEATUSD,atr_arm,5.0,1.0,f62f9a3f6a42,62961.0,5618.0,ok,707.0,3.234002001238862,218.61458333333334,1.0,533.0,10000.0,-2523.5403721617517,7476.45962783827,-25.235403721617516,27.54076829329178,1161.949811082,-25.833438920243502,-2549.3738110819713,9217.475991033403,-11741.016363195155,20.48327998007423,-45.684888572743795,30.802955356307557,-61.546840856831274,0.7850662758573139,0.6364922206506365,-0.08150923823806785,-0.13667763746459322,-0.026091453598507022,-0.03316019685268894,0.048349041385378946,20.694483734087694,372.4247226624403,0.15218206725407146,0.0,0.5,4.0
BEATUSD,atr_arm,5.0,1.0,0d8154c0bad1,62961.0,2222.0,ok,142.0,0.6495449564015819,218.61458333333334,0.0,30.0,10000.0,-82.35911535898117,9917.64088464104,-0.8235911535898118,5.5408618092683675,206.415518668,40.4075966909825,-41.95151866798369,2286.3812925711977,-2368.74040793018,23.570941160527813,-52.63867573178178,30.567912978216842,-61.30552524307831,0.9652308395283601,0.6830985915492958,-0.011019422188026647,-0.132522465410653,0.10637397243953534,0.02693838869833616,0.037957810886362804,43.82394366197183,455.71617632087913,0.11937566415400132,0.0,0.5,8.0
BEATUSD,atr_arm,5.0,1.0,94c23aa8f6ad,62961.0,7452.0,ok,1288.0,5.891647210177728,218.61458333333334,155.0,1518.0,10000.0,-2601.5900133502064,7398.409986649793,-26.01590013350206,32.02194071687046,3447.96244356,-1.1944302097895054,-2404.4102963639853,23071.909041456678,-25673.49905480688,30.927492012676513,-47.368079436913064,45.63920754169928,-67.4429696497198,0.8986663248435119,0.5791925465838509,-0.04526560947550554,-0.0940499525858631,-0.00016357554572828201,0.030526556612794353,0.0757921660882999,8.77639751552795,222.68968268928188,0.23878814578351593,0.2329192546583851,0.75,2.0
BEATUSD,atr_arm,5.0,1.0,11ac8507edfc,62961.0,5618.0,ok,587.0,2.685090770476962,218.61458333333334,1.0,376.0,10000.0,-2865.512468051831,7134.487531948193,-28.655124680518313,34.153640265048736,991.7681179240001,0.496350127833594,-2778.4617098039844,9720.610867316147,-12586.123335367978,31.356809249406925,-45.43726835872916,47.344382368414756,-68.40012331765593,0.7723276348326001,0.5281090289608177,-0.11417717554805891,-0.18341850750028876,-0.03751596771773164,-0.06649098328937045,0.04768619225868847,31.24190800681431,381.4769481844144,0.1500259772528589,0.17035775127768313,0.75,4.0
BEATUSD,atr_arm,5.0,1.0,de515cb4ecbe,62961.0,2222.0,ok,129.0,0.5900795730690427,218.61458333333334,0.0,26.0,10000.0,240.09371897752823,10240.093718977552,2.400937189775282,4.310902866114424,194.890937432,25.370343590471478,265.4640625680222,2875.840106066223,-2635.746387088695,36.40303931729397,-52.7149277417739,49.95678166096189,-70.52179811922694,1.0910913584681883,0.6124031007751938,0.038025061964047514,-0.1116895213700196,0.1781889839392569,0.07592662874615227,0.03790156678210475,62.18604651162791,454.5454545454542,0.1191696405620903,0.0,0.75,8.0
BEATUSD,atr_arm,5.0,1.0,ae190a209e26,62961.0,7452.0,ok,1165.0,5.3290131986467815,218.61458333333334,156.0,1339.0,10000.0,-1600.1555618131745,8399.844438186847,-16.001555618131743,22.62239600931979,3262.5657700439997,-78.70320823081819,-1678.8587700439784,25779.884059622793,-27380.039621435964,42.89498179637736,-48.54616954155313,63.37234633651731,-64.9047933725798,0.9415575877925172,0.5158798283261803,-0.02745759204287938,-0.08499343021053414,0.03235696172991404,0.0476970615312932,0.07515465357417257,11.944206008583691,225.88085580211546,0.23686037059633705,0.0,1.0,2.0
BEATUSD,atr_arm,5.0,1.0,fba2f87a03ea,62961.0,5618.0,ok,522.0,2.387763853814266,218.61458333333334,1.0,311.0,10000.0,-1904.6433988634712,8095.3566011365365,-19.04643398863471,26.171197769014544,915.9287542000002,50.9116446634748,-1853.7317541999828,10815.115776550218,-12719.759175413687,43.26046310620087,-46.763820497844435,59.606367003917995,-67.87396852290473,0.8502610487669454,0.4789272030651341,-0.07902217488240844,-0.16173539296856665,0.0079838875413976,-0.031794094539316815,0.04722808034309162,40.17624521072797,385.1539146583092,0.1486221229983874,0.0,1.0,4.0
BEATUSD,atr_arm,5.0,1.0,ed3c5148837c,62961.0,2222.0,ok,111.0,0.5077428884547577,218.61458333333334,0.0,14.0,10000.0,192.35546771205838,10192.355467712063,1.9235546771205838,4.5273761202835106,170.799418268,28.283114019943902,220.6385817320006,2839.514345337296,-2647.158877625238,47.32523908895494,-51.90507603186741,60.87829616509439,-69.62343126420494,1.0726648745331901,0.5405405405405406,0.03811145882002307,-0.15403284507461376,0.2249847288022974,0.07577596369831158,0.037664504878288506,82.72972972972973,461.65301563663314,0.11845626255591242,0.0,1.0,8.0
BEATUSD,atr_arm,5.0,1.0,1a0cc106f3fb,62961.0,7452.0,ok,991.0,4.533091914042026,218.61458333333334,129.0,1081.0,10000.0,-855.132361175461,9144.867638824498,-8.55132361175461,16.57469021823952,2964.543456326,-45.59209515053689,-652.7633327980202,28303.034313831347,-29158.166675006807,68.20008268393096,-50.62181714410904,87.13071463456207,-67.4429696497198,0.9706726293629275,0.41876892028254287,-0.01396995340290489,-0.0898034394915563,0.06301912627659066,0.06038054179754127,0.07435049520044615,18.10595358224016,229.92700729927105,0.234377645983992,0.20181634712411706,1.5,2.0
