strategy,universe,rebalance_d,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
size_small,all,30,574,-28.226124432609414,0.7793837076694725,-29.005508140278884,15.850476034050471,-1.8299455535574054,-2.232241226032755,-2.2940295202846324,0.021788803144524985,0.000625,False
carry,all,30,574,-66.67631886292689,0.6685457742243239,-67.3448646371512,41.11664373038164,-1.6378979052560454,-2.0332511118563374,-2.0532775625839736,0.04004566568528824,0.00125,False
illiquidity,all,30,544,-20.019192977328867,0.5472095249735668,-20.56640250230243,16.274133815369602,-1.2637479042281885,-1.5015516406060812,-1.5422855369043142,0.12300422198035275,0.0018750000000000004,False
carry,tradeable_1m,30,574,-50.68570568113372,0.9998862680438032,-51.68559194917753,42.615206896818385,-1.2128438581636058,-1.4912222026628776,-1.5204275387944972,0.1284035575335868,0.0025,False
size_small,all,90,514,-17.941640639966277,0.30313867201519196,-18.244779311981475,14.74251145009648,-1.2375624990179044,-1.444643093310455,-1.4680930677820638,0.1420789443520117,0.003125,False
illiquidity,all,1,573,-18.91278461756226,1.3145738489308392,-20.227358466493097,17.275545743887204,-1.170866539695301,-1.370378377916463,-1.4665254154010792,0.1425052024560061,0.0037500000000000007,False
low_volatility,all,90,514,-22.068569848055255,0.33263542057900036,-22.401205268634254,18.321314973642,-1.222685451391551,-1.4294273260740245,-1.4504447546611947,0.14693453441754606,0.004375,False
low_volatility,all,30,544,-22.89860533817191,0.89515531646721,-23.79376065463912,20.671604393909046,-1.1510359912678103,-1.3517676306344788,-1.4047312409770936,0.16010121217636877,0.005,False
illiquidity,all,7,569,-17.39125895974035,0.8145536666916201,-18.205812626431975,16.67448556197523,-1.0918365402497814,-1.3015426208829064,-1.3627577029495759,0.17295888548237565,0.005625,False
carry,all,1,597,-46.9127696358183,3.1733818970846293,-50.086151532902925,47.18901682765735,-1.0613942586646044,-1.2709507683734513,-1.3569654413347012,0.17479219150954634,0.00625,False
illiquidity,all,90,514,-16.53322640563958,0.25101386833609596,-16.784240273975673,14.920385839161494,-1.1249199889939927,-1.3151447434855001,-1.334467745234791,0.18205061084559354,0.006875000000000001,False
illiquidity,tradeable_1m,90,514,36.48670885707747,0.41055210202006165,36.07615675505741,32.74387724933458,1.1017680185015517,1.3219642989501272,1.3070030738243203,0.19121166754167956,0.0075000000000000015,False
