cell,tf,conf,gates,tgt,hrs,net,pos,nblk,n,win,dd,wk,lo,hi,allsym,s_BEAT,s_AKEU,s_BANK,b0,b1,b2,b3
15/3m c=- ST        3R 18-24,15/3,-,ST,3.0,18-24,-0.32379161110784344,1,3.0,17,0.17647058823529413,8.371152063804038,0.5436634464379194,-0.997345053463735,0.40604951839641784,False,-0.1680313610742958,-1.0473068064885922,-1.0574047208160133,1.0171817657175564,,-1.018774854131283,-0.4231747086158374
15/3m c=- ST+A25    1R all,15/3,-,ST+A25,1.0,all,-0.14435101530429126,2,4.0,16,0.4375,4.22957666184274,0.511683243706277,-0.6359670476563982,0.3417863790782606,False,-0.014893970731840253,0.9743107609939371,-1.0350664523601714,0.015002008549164475,-1.0635470420107622,0.9380805559616129,-0.22441577930161688
15/3m c=- ST+A25    1R 18-24,15/3,-,ST+A25,1.0,18-24,0.14105258598499334,2,2.0,7,0.5714285714285714,1.9796160400476135,0.22386141912149624,-0.6345821950607945,0.7133492566967891,True,0.0021762234835027336,0.9743107609939371,,0.05273302957639042,,,0.17638040854843456
15/3m c=- ST+A25    1.5R all,15/3,-,ST+A25,1.5,all,-0.08997369187085337,2,4.0,16,0.375,4.432930009927413,0.511683243706277,-0.6813424207691535,0.4994349199792109,False,0.015711025628214453,1.4770879796082865,-1.0350664523601714,0.23592384301863875,-1.0635470420107624,1.3126389535872358,-0.26323663535846825
15/3m c=- ST+A25    1.5R 18-24,15/3,-,ST+A25,1.5,18-24,0.07865842648664659,1,2.0,7,0.42857142857142855,2.8048186324551856,0.22386141912149624,-0.6353853526315918,1.0496811204685426,False,-0.1544131657002934,1.4770879796082865,,0.2783249885796237,,,-0.0012081983505441763
15/3m c=- ST+A25    3R all,15/3,-,ST+A25,3.0,all,-0.2500154952989786,1,4.0,16,0.25,6.950526496235453,0.511683243706277,-0.859239527873939,0.5007558796900657,False,0.01212166158305078,-1.0405085066997526,-1.0350664523601714,-0.051961682336204656,-1.0635470420107622,1.3126389535872358,-0.4041493107015312
15/3m c=- ST+A25    3R 18-24,15/3,-,ST+A25,3.0,18-24,0.13506134684360724,1,2.0,7,0.2857142857142857,3.8453271391549384,0.22386141912149624,-0.9655250422985756,1.2527577345686078,False,0.33098965576750056,-1.0405085066997526,,1.0171817657175564,,,-0.2177868207059725
15/3m c=- ST+DI     1R all,15/3,-,ST+DI,1.0,all,-0.43479493964664007,0,4.0,43,0.3023255813953488,20.6161428217796,1.3751487174606196,-0.7008708864196811,-0.16431237931951112,False,-0.3897407161401838,-0.056585914861095155,-1.0406510194741319,-0.010442218126590186,-1.0008380358176365,-0.35008057814341714,-0.45435193266554813
15/3m c=- ST+DI     1R 18-24,15/3,-,ST+DI,1.0,18-24,-0.5087133324775333,1,3.0,11,0.2727272727272727,6.5336438599412325,0.35178223004806547,-0.8894549214450133,0.04524477535558166,False,-0.3871485366843801,-1.0541051062774318,-1.0574047208160133,0.9377972026883667,,-0.036666088311410494,-0.8075389604148016
15/3m c=- ST+DI     1.5R all,15/3,-,ST+DI,1.5,all,-0.3916324490630088,1,4.0,43,0.2558139534883721,19.643843064561356,1.3751487174606196,-0.6851564222395833,-0.048805684530249804,False,-0.29735981913872234,-0.8376389618400627,-1.0406510194741319,0.21047961634288406,-1.0008380358176365,-0.38879958639496875,-0.3918768084813368
