symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult
AKEUSD,atr_arm,5,5,5dc5ac0f708a,6009,1223.0,ok,126.0,6.038941587618573,20.864583333333332,41.0,242.0,10000.0,-1955.5264667963788,8042.449264063617,-19.555264667963787,20.41503408485727,324.80673323999997,-4.372266443625103,-1671.51607040001,2678.8992495688613,-4634.42571636524,89.29664165229538,-48.275267878804584,117.03918123981606,-57.93115633346002,0.5780434110981738,0.23809523809523808,-0.34398134310141754,-0.5642287456731008,-0.10883228151618837,-0.2802345658800975,0.06374677722131995,22.706349206349206,284.0750122309174,0.20002689513258728,1.5873015873015872,2.0
AKEUSD,atr_arm,5,5,ee1169e95975,6009,962.0,ok,68.0,3.2591113330004995,20.864583333333332,2.0,94.0,10000.0,-304.8057605140998,9691.803782670742,-3.0480576051409978,7.479049812510535,164.251755414,0.44600510009839645,-305.4276837339985,2085.2531975309003,-2390.0589580449996,94.78423625140455,-51.95780343576086,112.26239847407027,-58.1980728550502,0.8724693549972417,0.3235294117647059,-0.08695786614371415,-0.40605401881045106,0.2657884927418519,-0.031538271292595316,0.05541959485111876,45.5,379.0056688719581,0.1735425698407536,0.0,3.0
AKEUSD,atr_arm,5,5,a2bca180ebed,6009,758.0,ok,44.0,2.108836744882676,20.864583333333332,1.0,48.0,10000.0,-845.0365991853258,9152.526509978781,-8.450365991853257,9.74822942274633,96.178142468,-2.1805432826733027,-847.9847159479941,856.984959643495,-1702.0215588288208,95.22055107149944,-48.62918739510917,106.52325907990794,-53.8074432726218,0.5035100496806841,0.20454545454545456,-0.40539310521386424,-0.7634310998093866,-0.02341283512409796,-0.3548642058469289,0.050528899366935345,59.22727272727273,422.93737281447386,0.15819306249315843,0.0,4.0
AKEUSD,atr_arm,5,5,66744b5d349d,6009,504.0,ok,22.0,1.054418372441338,20.864583333333332,0.0,6.0,10000.0,-246.3665683772996,9751.181023606812,-2.4636656837729958,4.823937666006622,39.645489052,15.603079325299902,-231.54657971199413,534.0318894288514,-780.3984578061511,89.00531490480857,-48.774903612884444,97.75341780282325,-56.61512091783472,0.684306694980045,0.2727272727272727,-0.22694185376691484,-0.7374581809178964,0.32657408466457427,-0.1843486812412471,0.042593172525667695,97.4090909090909,453.39754212314256,0.13292942326541743,0.0,6.0
AKEUSD,atr_arm,5,5,ff671398a60a,6009,357.0,ok,11.0,0.527209186220669,20.864583333333332,0.0,2.0,10000.0,-184.54427213735508,9816.313261743011,-1.8454427213735507,3.170406840812102,20.383370844,-10.5520987066451,-196.00594603399804,219.38770201750964,-403.9319741548647,73.12923400583655,-50.491496769358086,94.89556565046226,-53.04795361633189,0.5431303191002105,0.2727272727272727,-0.33842476501009183,-1.0339784150351794,0.369379697833389,-0.29829828848061973,0.040126476529472016,135.9090909090909,458.4062270226416,0.12530352195190286,0.0,8.0
AKEUSD,atr_adx,5,5,3521dc5aecec,6009,561.0,ok,76.0,3.6425361957064406,20.864583333333332,12.0,98.0,10000.0,-528.3450066998432,9471.654993300152,-5.283450066998433,7.574146031016362,202.336963708,10.753042991841104,-218.24345790800544,2224.493676255892,-2752.8386829557353,96.71711635895181,-51.94035250859878,122.35914402344403,-58.069454206078056,0.8080726596981131,0.3026315789473684,-0.13855550144323303,-0.4576207943118532,0.17631014238900375,-0.07741474997437305,0.061140751468859986,26.460526315789473,337.1021373007144,0.19163404312617918,2.631578947368421,2.0
AKEUSD,atr_adx,5,5,03722d94202d,6009,413.0,ok,42.0,2.0129805292061906,20.864583333333332,0.0,37.0,10000.0,-395.79837822311305,9600.811164961731,-3.95798378223113,6.864755845737407,108.639164644,5.2552135791114045,-391.61109296400355,1112.5067672107468,-1508.30514543386,92.70889726756224,-50.27683818112867,108.75419852175557,-56.305619699999944,0.7375873314353358,0.2857142857142857,-0.18996966747778377,-0.573986005918494,0.23820579215076879,-0.13190389989541865,0.05806576758236518,49.07142857142857,358.5973199577089,0.1820067947241954,0.0,3.0
AKEUSD,atr_adx,5,5,15c96960e886,6009,328.0,ok,32.0,1.5336994508237645,20.864583333333332,0.0,22.0,10000.0,-803.9245215901401,9193.638587573965,-8.039245215901401,9.371528244306038,75.80948100999998,5.018040580139498,-799.6740544899985,486.5000941043811,-1290.4246156945212,97.30001882087622,-47.79350428498227,109.75123662778397,-53.8074432726218,0.3770077602266919,0.15625,-0.5280410999730317,-0.8660426409450782,-0.1373127129902306,-0.47560226084347035,0.05243883912956142,53.46875,399.1459867943249,0.16439742804163832,0.0,4.0
AKEUSD,atr_adx,5,5,51983af8c20a,6009,220.0,ok,17.0,0.8147778332501249,20.864583333333332,0.0,3.0,10000.0,-471.7408310109427,9525.806760973166,-4.717408310109427,5.685435253947889,30.374743808,17.990087202942803,-454.53383446799853,243.34124163373536,-715.0820726446779,81.11374721124513,-51.077290903191276,97.75341780282325,-55.384357419620926,0.34029833908960394,0.17647058823529413,-0.5830559742388914,-1.067117097507777,-0.04000080662976701,-0.5436198466839773,0.039436127554914074,92.94117647058823,428.1835811247568,0.12252940466355261,0.0,6.0
AKEUSD,atr_adx,5,5,e8734162e400,6009,142.0,ok,9.0,0.43135297054418376,20.864583333333332,0.0,0.0,10000.0,-304.4914914224757,9696.36604245788,-3.044914914224757,3.9788127782248375,17.0190998,9.668391622475399,-295.7326749900076,91.94559010116002,-396.4370815236357,91.94559010116002,-49.55463519045446,91.94559010116002,-55.2820725874831,0.23192984306055184,0.1111111111111111,-0.6932518582796975,-1.0606836939020226,-0.01474892540402788,-0.6529648421757579,0.04028701610393937,117.55555555555556,450.8317747809838,0.12590569492756493,0.0,8.0
