universe,trades,net_r,return_pct,max_dd,win,final,rej
all 7,8759,-0.053053933965328086,-91.22491654385074,93.01072301504942,0.5030254595273433,877.3685405129738,"{'max_open_positions': 173, 'max_trades_per_day': 13147, 'max_daily_loss': 0, 'max_drawdown': 0, 'max_consecutive_losses': 0, 'zero_contracts': 150, 'cost_per_r': 35121, 'stop_too_close': 0}"
6 live (no XRP),6745,-0.05119752687167201,-83.35118250360952,86.08008087626695,0.5020014825796887,1664.6156689610832,"{'max_open_positions': 0, 'max_trades_per_day': 2417, 'max_daily_loss': 0, 'max_drawdown': 0, 'max_consecutive_losses': 0, 'zero_contracts': 0, 'cost_per_r': 28464, 'stop_too_close': 0}"
thin 3 (BEAT/AKE/BANK),911,-0.03248677473654266,-14.319667299661432,20.2760211176211,0.49286498353457736,8568.033270033873,"{'max_open_positions': 0, 'max_trades_per_day': 0, 'max_daily_loss': 0, 'max_drawdown': 0, 'max_consecutive_losses': 0, 'zero_contracts': 0, 'cost_per_r': 0, 'stop_too_close': 0}"
BEATUSD only,744,-0.01014275209857424,-4.3957957375314765,16.88140041920939,0.5040322580645161,9560.420426246883,"{'max_open_positions': 0, 'max_trades_per_day': 0, 'max_daily_loss': 0, 'max_drawdown': 0, 'max_consecutive_losses': 0, 'zero_contracts': 0, 'cost_per_r': 0, 'stop_too_close': 0}"
