label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=3.0,87,62.6,1.39,0.2874,-0.0383,0.2606,0.00535,-0.3043,-0.7044,1.3137,-0.9567,0.554,-19.576,-55.853,29.78,-0.546,-0.0513,-2.048,-0.256,16.76,23.0,0.431,0.423,20.0,8.0,42.5,49.4,43.7,0.3,4,1.0,0.25,3.0
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=2.0,80,64.4,1.24,0.325,-0.0391,0.2408,0.00463,-0.2845,-0.5274,1.0818,-0.9423,0.553,-20.707,-51.91,26.08,-0.4783,-0.0714,-2.431,-0.336,16.32,20.0,0.44,0.426,20.0,15.0,40.0,45.0,45.0,0.3,4,1.0,0.5,2.0
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=3.0,80,60.2,1.33,0.3125,-0.0093,0.2498,0.00463,-0.2637,-0.6169,1.2506,-0.952,0.597,-16.593,-46.754,24.1,-0.4801,-0.0174,-1.932,-0.068,17.15,23.0,0.44,0.426,20.0,8.8,41.2,50.0,45.0,0.3,4,1.0,0.5,3.0
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=2.0,65,44.7,1.45,0.3385,-0.0269,0.2427,0.00624,-0.2759,-0.4824,1.02,-0.9389,0.556,-20.754,-50.347,19.74,-0.4959,-0.0438,-2.0,-0.194,15.8,20.0,0.441,0.423,20.0,13.8,40.0,46.2,43.1,0.3,4,1.0,0.75,2.0
percentile=0.3|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=3.0,65,43.6,1.49,0.3385,0.0795,0.2463,0.00624,-0.173,-0.4824,1.3241,-0.9389,0.722,-10.506,-30.782,16.51,-0.4401,0.1087,-1.014,0.458,16.62,23.0,0.441,0.423,40.0,10.8,40.0,49.2,43.1,0.3,4,1.0,0.75,3.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=2.0,68,52.0,1.31,0.3235,-0.0166,0.2442,0.00496,-0.2658,-0.5274,1.1449,-0.9404,0.582,-19.265,-49.797,22.77,-0.5477,0.0352,-1.534,-0.098,15.79,19.5,0.433,0.423,20.0,16.2,38.2,45.6,45.6,0.3,4,1.5,0.25,2.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=3.0,68,50.9,1.34,0.3235,0.0734,0.2523,0.00496,-0.1839,-0.5274,1.3981,-0.9404,0.711,-11.07,-33.379,19.9,-0.5092,0.1714,-0.898,0.362,16.82,23.0,0.433,0.423,20.0,10.3,38.2,51.5,45.6,0.3,4,1.5,0.25,3.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=2.0,66,50.3,1.31,0.3333,-0.0146,0.2425,0.00511,-0.2622,-0.4981,1.0777,-0.9322,0.578,-19.204,-47.864,21.24,-0.5248,0.0055,-1.712,-0.096,16.05,20.0,0.44,0.429,20.0,15.2,37.9,47.0,45.5,0.3,4,1.5,0.5,2.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=3.0,66,49.9,1.32,0.3333,0.0788,0.2478,0.00511,-0.174,-0.4981,1.3422,-0.9322,0.72,-10.493,-30.91,18.36,-0.4904,0.142,-0.936,0.427,16.95,23.0,0.44,0.429,20.0,10.6,37.9,51.5,45.5,0.3,4,1.5,0.5,3.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=2.0,55,38.1,1.44,0.3636,0.0603,0.2427,0.00677,-0.1892,-0.4202,1.0854,-0.9176,0.676,-13.824,-34.097,14.43,-0.4822,0.1148,-1.024,0.337,15.6,20.0,0.436,0.423,20.0,16.4,36.4,47.3,45.5,0.3,4,1.5,0.75,2.0
percentile=0.3|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=3.0,55,37.4,1.47,0.3636,0.1861,0.2469,0.00677,-0.0676,-0.4202,1.4199,-0.9176,0.884,-3.929,-11.819,13.43,-0.4193,0.3041,-0.301,0.845,16.56,23.0,0.436,0.423,40.0,12.7,36.4,50.9,45.5,0.3,4,1.5,0.75,3.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=2.0,53,42.8,1.24,0.3585,0.0514,0.2528,0.00408,-0.2054,-0.4757,1.1149,-0.9432,0.661,-14.779,-38.115,18.49,-0.6269,0.2358,-0.83,0.209,15.7,20.0,0.409,0.407,20.0,17.0,35.8,47.2,45.3,0.3,4,2.0,0.25,2.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=3.0,53,43.6,1.22,0.3585,0.1367,0.2648,0.00408,-0.1321,-0.4757,1.3193,-0.9432,0.782,-7.983,-23.533,18.28,-0.6009,0.3497,-0.489,0.492,17.04,23.0,0.409,0.407,20.0,9.4,35.8,54.7,45.3,0.3,4,2.0,0.25,3.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=2.0,51,41.0,1.24,0.3725,0.0567,0.2509,0.00424,-0.1984,-0.4202,1.0371,-0.932,0.661,-14.464,-35.537,16.96,-0.5899,0.1949,-0.885,0.258,16.02,20.0,0.416,0.407,40.0,15.7,35.3,49.0,45.1,0.3,4,2.0,0.5,2.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=3.0,51,42.7,1.2,0.3725,0.1462,0.2594,0.00424,-0.1174,-0.4202,1.2546,-0.932,0.799,-7.112,-20.284,16.74,-0.5537,0.314,-0.474,0.589,17.22,23.0,0.416,0.407,40.0,9.8,35.3,54.9,45.1,0.3,4,2.0,0.5,3.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.75|target_r=2.0,43,31.9,1.35,0.4186,0.1191,0.2439,0.00585,-0.1307,-0.4015,0.9933,-0.9401,0.761,-9.521,-23.224,12.77,-0.5178,0.2583,-0.56,0.524,15.79,20.0,0.424,0.411,40.0,16.3,34.9,48.8,44.2,0.3,4,2.0,0.75,2.0
percentile=0.3|min_duration=4|volume_mult=2.0|body_mult=0.75|target_r=3.0,43,31.3,1.37,0.4186,0.2335,0.2493,0.00585,-0.0217,-0.4015,1.2539,-0.9401,0.96,-1.277,-3.723,12.77,-0.4855,0.4337,-0.077,0.843,16.86,23.0,0.424,0.411,60.0,11.6,34.9,53.5,44.2,0.3,4,2.0,0.75,3.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.25|target_r=2.0,30,25.2,1.19,0.2333,-0.2469,0.2253,0.00216,-0.4744,-0.791,1.0255,-0.9309,0.335,-38.321,-91.618,13.83,-0.7398,-0.2164,-3.227,-1.705,16.7,20.5,0.463,0.44,20.0,10.0,43.3,46.7,53.3,0.3,6,1.0,0.25,2.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.25|target_r=3.0,30,24.3,1.23,0.2333,-0.1469,0.2253,0.00216,-0.3744,-0.791,1.4541,-0.9309,0.475,-23.568,-71.244,11.28,-0.7181,-0.0307,-1.914,-0.766,17.2,20.5,0.463,0.44,40.0,10.0,43.3,46.7,53.3,0.3,6,1.0,0.25,3.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.5|target_r=2.0,28,24.7,1.13,0.25,-0.1931,0.223,0.00231,-0.4185,-0.6169,1.0255,-0.8998,0.38,-32.41,-77.242,11.32,-0.6954,-0.1341,-2.711,-1.211,17.75,22.0,0.467,0.44,20.0,10.7,39.3,50.0,53.6,0.3,6,1.0,0.5,2.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.5|target_r=3.0,28,24.0,1.17,0.25,-0.086,0.223,0.00231,-0.3113,-0.6169,1.4541,-0.8998,0.539,-18.693,-56.615,9.24,-0.6695,0.0586,-1.535,-0.414,18.29,22.0,0.467,0.44,40.0,10.7,39.3,50.0,53.6,0.3,6,1.0,0.5,3.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.75|target_r=2.0,24,20.5,1.17,0.2917,-0.0864,0.2236,0.0027,-0.3127,-0.5083,1.0255,-0.8637,0.489,-23.266,-55.721,8.31,-0.7211,0.1132,-1.369,-0.374,17.92,23.0,0.458,0.44,40.0,12.5,33.3,54.2,50.0,0.3,6,1.0,0.75,2.0
percentile=0.3|min_duration=6|volume_mult=1.0|body_mult=0.75|target_r=3.0,24,19.9,1.21,0.2917,0.0386,0.2236,0.0027,-0.1877,-0.5083,1.4541,-0.8637,0.693,-10.704,-32.874,8.31,-0.7057,0.3643,-0.635,0.129,18.54,23.0,0.458,0.44,40.0,12.5,33.3,54.2,50.0,0.3,6,1.0,0.75,3.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.25|target_r=2.0,26,22.6,1.15,0.2692,-0.1564,0.22,-0.00151,-0.375,-0.5274,1.0255,-0.8909,0.424,-28.577,-67.887,9.5,-0.718,-0.0498,-2.041,-0.887,17.54,22.0,0.473,0.454,40.0,11.5,38.5,50.0,57.7,0.3,6,1.5,0.25,2.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.25|target_r=3.0,26,21.9,1.18,0.2692,-0.0411,0.22,-0.00151,-0.2596,-0.5274,1.4541,-0.8909,0.601,-15.273,-46.241,8.82,-0.6934,0.1548,-1.079,-0.179,18.12,22.0,0.473,0.454,40.0,11.5,38.5,50.0,57.7,0.3,6,1.5,0.25,3.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=2.0,26,22.6,1.15,0.2692,-0.1564,0.22,-0.00151,-0.375,-0.5274,1.0255,-0.8909,0.424,-28.577,-67.887,9.5,-0.718,-0.0498,-2.041,-0.887,17.54,22.0,0.473,0.454,40.0,11.5,38.5,50.0,57.7,0.3,6,1.5,0.5,2.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=3.0,26,21.9,1.18,0.2692,-0.0411,0.22,-0.00151,-0.2596,-0.5274,1.4541,-0.8909,0.601,-15.273,-46.241,8.82,-0.6934,0.1548,-1.079,-0.179,18.12,22.0,0.473,0.454,40.0,11.5,38.5,50.0,57.7,0.3,6,1.5,0.5,3.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=2.0,23,19.4,1.18,0.3043,-0.0754,0.2225,-0.0017,-0.2961,-0.4757,1.0255,-0.8744,0.513,-21.753,-51.689,8.31,-0.7212,0.1516,-1.212,-0.315,17.7,23.0,0.46,0.445,40.0,13.0,34.8,52.2,52.2,0.3,6,1.5,0.75,2.0
percentile=0.3|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=3.0,23,18.8,1.22,0.3043,0.0551,0.2225,-0.0017,-0.1657,-0.4757,1.4541,-0.8744,0.728,-9.323,-28.401,8.31,-0.6997,0.4028,-0.527,0.178,18.35,23.0,0.46,0.445,40.0,13.0,34.8,52.2,52.2,0.3,6,1.5,0.75,3.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=2.0,20,17.4,1.15,0.35,0.0364,0.2378,-0.00536,-0.196,-0.4046,1.0255,-0.8538,0.647,-14.249,-31.582,6.18,-0.6253,0.2592,-0.811,0.156,16.65,21.5,0.42,0.419,60.0,15.0,35.0,50.0,55.0,0.3,6,2.0,0.25,2.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=3.0,20,17.3,1.16,0.35,0.1864,0.2378,-0.00536,-0.046,-0.4046,1.4541,-0.8538,0.917,-2.542,-7.254,6.18,-0.6094,0.5543,-0.146,0.615,17.4,21.5,0.42,0.419,60.0,15.0,35.0,50.0,55.0,0.3,6,2.0,0.25,3.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=2.0,20,17.4,1.15,0.35,0.0364,0.2378,-0.00536,-0.196,-0.4046,1.0255,-0.8538,0.647,-14.249,-31.582,6.18,-0.6253,0.2592,-0.811,0.156,16.65,21.5,0.42,0.419,60.0,15.0,35.0,50.0,55.0,0.3,6,2.0,0.5,2.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=3.0,20,17.3,1.16,0.35,0.1864,0.2378,-0.00536,-0.046,-0.4046,1.4541,-0.8538,0.917,-2.542,-7.254,6.18,-0.6094,0.5543,-0.146,0.615,17.4,21.5,0.42,0.419,60.0,15.0,35.0,50.0,55.0,0.3,6,2.0,0.5,3.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=2.0,19,16.4,1.16,0.3684,0.091,0.2348,-0.00565,-0.1382,-0.4015,1.0255,-0.8171,0.732,-9.883,-21.735,6.18,-0.639,0.3813,-0.505,0.328,17.26,23.0,0.424,0.423,60.0,15.8,31.6,52.6,52.6,0.3,6,2.0,0.75,2.0
percentile=0.3|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=3.0,19,16.3,1.17,0.3684,0.2489,0.2348,-0.00565,0.0197,-0.4015,1.4541,-0.8171,1.038,1.063,3.028,6.18,-0.6221,0.6869,0.056,0.698,18.05,23.0,0.424,0.423,60.0,15.8,31.6,52.6,52.6,0.3,6,2.0,0.75,3.0
