label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.1|min_duration=6|volume_mult=1.5|body_mult=0.25|target_r=3.0,12,11.6,1.03,0.3333,-0.0763,0.2787,-0.00765,-0.3473,-0.8235,1.2089,-1.1253,0.537,-21.105,-62.789,3.6,-0.8449,0.1661,-1.362,-0.345,15.25,17.5,0.43,0.427,40.0,8.3,50.0,41.7,41.7,0.1,6,1.5,0.25,3.0
percentile=0.1|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=2.0,10,10.0,1.0,0.2,-0.3751,0.2949,0.00375,-0.6737,-1.2043,1.1326,-1.1253,0.252,-55.245,-131.941,4.97,-1.1374,-0.2098,-2.971,-1.88,13.0,12.5,0.407,0.416,0.0,10.0,60.0,30.0,40.0,0.1,6,1.5,0.5,2.0
percentile=0.1|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=3.0,10,9.6,1.04,0.2,-0.2751,0.2949,-0.00199,-0.568,-1.2043,1.6612,-1.1253,0.369,-35.908,-108.359,4.76,-1.1374,0.0046,-1.94,-1.047,13.7,12.5,0.407,0.416,20.0,10.0,60.0,30.0,40.0,0.1,6,1.5,0.5,3.0
percentile=0.1|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=2.0,8,7.8,1.02,0.25,-0.2189,0.3071,0.00469,-0.5307,-0.8235,1.1326,-1.0852,0.348,-38.639,-86.165,2.63,-1.1118,0.0813,-1.858,-0.927,13.88,14.0,0.405,0.447,25.0,12.5,50.0,37.5,25.0,0.1,6,1.5,0.75,2.0
percentile=0.1|min_duration=6|volume_mult=1.5|body_mult=0.75|target_r=3.0,8,7.5,1.07,0.25,-0.0939,0.3072,-0.00248,-0.3986,-0.8235,1.6612,-1.0852,0.51,-22.165,-62.761,2.63,-1.1118,0.3456,-1.092,-0.304,14.75,17.5,0.405,0.447,25.0,12.5,50.0,37.5,25.0,0.1,6,1.5,0.75,3.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=2.0,9,8.9,1.01,0.2222,-0.3057,0.2997,0.00417,-0.6095,-1.1897,1.1326,-1.1073,0.292,-46.766,-108.454,3.87,-1.1785,-0.0308,-2.23,-1.23,13.67,13.0,0.407,0.426,20.0,11.1,55.6,33.3,33.3,0.1,6,2.0,0.25,2.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.25|target_r=3.0,9,8.5,1.05,0.2222,-0.1946,0.2997,-0.00221,-0.492,-1.1897,1.6612,-1.1073,0.429,-29.0,-85.163,3.87,-1.1785,0.208,-1.42,-0.61,14.44,13.0,0.407,0.426,20.0,11.1,55.6,33.3,33.3,0.1,6,2.0,0.25,3.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=2.0,9,8.9,1.01,0.2222,-0.3057,0.2997,0.00417,-0.6095,-1.1897,1.1326,-1.1073,0.292,-46.766,-108.454,3.87,-1.1785,-0.0308,-2.23,-1.23,13.67,13.0,0.407,0.426,20.0,11.1,55.6,33.3,33.3,0.1,6,2.0,0.5,2.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.5|target_r=3.0,9,8.5,1.05,0.2222,-0.1946,0.2997,-0.00221,-0.492,-1.1897,1.6612,-1.1073,0.429,-29.0,-85.163,3.87,-1.1785,0.208,-1.42,-0.61,14.44,13.0,0.407,0.426,20.0,11.1,55.6,33.3,33.3,0.1,6,2.0,0.5,3.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=2.0,8,7.8,1.02,0.25,-0.2189,0.3071,0.00469,-0.5307,-0.8235,1.1326,-1.0852,0.348,-38.639,-86.165,2.63,-1.1118,0.0813,-1.858,-0.927,13.88,14.0,0.405,0.447,25.0,12.5,50.0,37.5,25.0,0.1,6,2.0,0.75,2.0
percentile=0.1|min_duration=6|volume_mult=2.0|body_mult=0.75|target_r=3.0,8,7.5,1.07,0.25,-0.0939,0.3072,-0.00248,-0.3986,-0.8235,1.6612,-1.0852,0.51,-22.165,-62.761,2.63,-1.1118,0.3456,-1.092,-0.304,14.75,17.5,0.405,0.447,25.0,12.5,50.0,37.5,25.0,0.1,6,2.0,0.75,3.0
