days,years,rebalances,carry_ann,price_ann,fees_ann,net_ann,vol_ann,price_vol_ann,sharpe,max_drawdown,win_rate,nw_t,p_value,L,H,T,n_symbols,k_mode,n_eligible_mean,is_primary,bh_pass
422,1.155,57,1.0123831628388034,0.2529011219159078,0.03407413210900473,1.2312101526457062,0.6569254335384185,0.6548390166665946,1.874200768897011,-0.41060859377934417,0.542654028436019,1.6849511395873282,0.09199799875468714,7,7,500000.0,23,2,10.160919540229886,False,False
422,1.155,56,0.8612259750700237,1.0904530761583309,0.03487185426540284,1.916807196962951,0.6795243568970584,0.6800945063607087,2.8208071977224645,-0.2579041325153839,0.5639810426540285,2.3302864911414587,0.019791014263217735,7,7,1000000.0,21,2,8.436781609195402,True,False
422,1.155,37,0.3854046284850266,1.0127797466527615,0.020512855450236966,1.3776715196875515,0.518817940918556,0.519866343720256,2.6554045475921932,-0.2255472536957508,0.5450236966824644,1.9382616961630088,0.05259130303910052,7,7,5000000.0,14,2,4.287356321839081,False,False
422,1.155,30,0.9154270903863446,0.19729491069414423,0.021538498222748812,1.0911835028577404,0.6587243033098751,0.6604352122673373,1.6565101627113175,-0.430585671572038,0.54739336492891,1.4923623220904556,0.13560418684163494,7,14,500000.0,22,2,10.204545454545455,False,False
422,1.155,30,0.7860461959584419,0.7914443421927274,0.02017097452606635,1.5573195636251027,0.6870081296356378,0.6930134067509135,2.266813879554881,-0.31965650374209176,0.556872037914692,1.8363944144669722,0.06629934506247241,7,14,1000000.0,19,2,8.5,False,False
422,1.155,23,0.2498997490297837,0.41183551561517207,0.011623951421800947,0.6501113132231546,0.40754736164520383,0.4067076816429799,1.5951797862186097,-0.2779155536419303,0.5402843601895735,1.578988351135713,0.11433872899401325,7,14,5000000.0,13,2,4.295454545454546,False,False
424,1.161,15,0.6193579440775058,-0.7006970553954356,0.012816771816037735,-0.09415588313396737,0.5326471699136145,0.5264514034349669,-0.17676970507369394,-0.4874860609665579,0.5117924528301887,-0.18261918703118296,0.8550968284401792,7,30,500000.0,19,2,10.380952380952381,False,False
424,1.161,15,0.5975061889958136,-0.2736414244357576,0.011569121462264152,0.31229564309779184,0.6341953028132505,0.6361392616548054,0.49242818688890944,-0.6904357252717187,0.5094339622641509,0.42385192734864136,0.6716738050651496,7,30,1000000.0,16,2,8.476190476190476,False,False
424,1.161,14,0.2532640507792748,-0.5943861051167186,0.008166438679245283,-0.34928849301668924,0.38073492679292026,0.3748759099382722,-0.9174059652443324,-0.8198107373414114,0.5117924528301887,-0.6453565935829715,0.5186961256124872,7,30,5000000.0,13,2,4.476190476190476,False,False
422,1.155,55,1.0112706452888773,0.3385814238402465,0.032706608412322265,1.3171454607168012,0.6152677364020627,0.6113321880073789,2.1407679661851766,-0.3827180473559135,0.5402843601895735,1.7504711902980592,0.08003704117208466,14,7,500000.0,23,2,10.160919540229886,False,False
422,1.155,53,0.9686951724571388,0.7974452461001533,0.030427402251184836,1.735713016306107,0.6190369326313921,0.6188232905830335,2.803892505941392,-0.1941552976304295,0.54739336492891,2.222563846539924,0.026245224338464254,14,7,1000000.0,20,2,8.436781609195402,False,False
422,1.155,36,0.5631459899389513,0.4689350847300327,0.01641028436018957,1.0156707903087945,0.48616710811346453,0.49079702812760667,2.0891392555329995,-0.20492717951083883,0.5284360189573459,1.651897598180806,0.09855542779835239,14,7,5000000.0,14,2,4.287356321839081,False,False
422,1.155,31,0.8309526187734448,-0.1277232453075662,0.021082656990521326,0.682146716475357,0.5218888798226209,0.5169967945982913,1.3070727176773806,-0.35002903787057627,0.54739336492891,1.6569863857364704,0.09752222760403322,14,14,500000.0,22,2,10.204545454545455,False,False
422,1.155,31,0.7497524600545911,0.30925555372340613,0.021196617298578198,1.037811396479419,0.5595109610694358,0.5615236106431849,1.8548544509222324,-0.3196565037420921,0.5497630331753555,2.1363072769175075,0.03265437614048783,14,14,1000000.0,19,2,8.5,False,False
422,1.155,24,0.40832495526491414,-0.0060397943468091745,0.011282070497630333,0.39100309042047454,0.41096463766603175,0.40767713472541195,0.9514275793680845,-0.27791555364193044,0.533175355450237,1.0137219581084587,0.31071544333057777,14,14,5000000.0,13,2,4.295454545454546,False,False
424,1.161,15,0.6296334570448113,-0.6298656669501086,0.01304361733490566,-0.013275827240202735,0.5403971520040014,0.5371356722384616,-0.024566797199006025,-0.4267312232573254,0.49764150943396224,-0.027024988626535695,0.978439803265938,14,30,500000.0,19,2,10.380952380952381,False,False
424,1.161,15,0.5124367763286704,-0.24715290365660608,0.012589926297169813,0.2526939463748943,0.6463661102704914,0.650986998095921,0.39094553745886657,-0.7647161709957362,0.5070754716981132,0.29814519256756294,0.7655923504208295,14,30,1000000.0,17,2,8.476190476190476,False,False
424,1.161,14,0.08124235786158608,-0.581004479987174,0.00850670695754717,-0.5082688290831351,0.3784651446576472,0.3734556829886591,-1.3429739468951785,-0.8232800016305837,0.5070754716981132,-0.8568283043727748,0.3915397805709581,14,30,5000000.0,13,2,4.476190476190476,False,False
422,1.155,52,1.0546207057791024,0.08799057560485954,0.02643879146919431,1.1161724899147676,0.6828699335755578,0.6797104866859031,1.6345316070227391,-0.3556343212604567,0.5355450236966824,1.6118043221013258,0.10700452737538226,30,7,500000.0,23,2,10.160919540229886,False,False
422,1.155,45,0.9989362846799023,0.48241502654367535,0.024957307464454973,1.4563940037591228,0.6900192903000965,0.6909511157090482,2.1106569399323925,-0.280299490266807,0.5355450236966824,2.0700472255062143,0.038447922225884695,30,7,1000000.0,20,2,8.436781609195402,False,False
422,1.155,30,0.5482751874391439,0.41573051626009916,0.014017117890995261,0.9499885858082476,0.5173753740458863,0.5208932255953339,1.83616892775417,-0.2637245960561819,0.533175355450237,1.5986854880605066,0.10989050371672388,30,7,5000000.0,14,2,4.287356321839081,False,False
422,1.155,29,1.0435086246510217,-0.11005432861924357,0.019829093601895734,0.9136252024298828,0.6721459135697556,0.673423533475807,1.359266171206241,-0.3698227384459031,0.5165876777251185,1.3471829030979259,0.1779213328961049,30,14,500000.0,22,2,10.204545454545455,False,False
422,1.155,28,0.9593047293942387,0.2388118785414608,0.019487212677725116,1.1786293952579745,0.702562931793185,0.7084303306916698,1.6776139786505706,-0.31965650374209176,0.5165876777251185,1.6227806092498953,0.10463631232034101,30,14,1000000.0,19,2,8.5,False,False
422,1.155,22,0.40859050692351895,-0.03447808833344047,0.011282070497630333,0.36283034809244813,0.40946945291186654,0.4058931632215109,0.8860986955491966,-0.2779155536419305,0.523696682464455,0.9022679000014662,0.366914573129168,30,14,5000000.0,13,2,4.295454545454546,False,False
424,1.161,15,0.6991368217350972,0.1849664586496377,0.0111154304245283,0.8729878499602065,0.5493358703522316,0.5382431560250273,1.5891695719787071,-0.3410422335463673,0.5047169811320755,1.3614742316538622,0.1733638714375264,30,30,500000.0,18,2,10.380952380952381,False,False
424,1.161,14,0.613579652279717,0.7949711000107127,0.01054831662735849,1.3980024356630714,0.6439074561447585,0.6378981735965806,2.1711232294672835,-0.3325745383634331,0.5047169811320755,1.7480185401916488,0.08046081706429573,30,30,1000000.0,15,2,8.476190476190476,False,False
424,1.161,13,0.1755164785276238,0.5291971499472685,0.007485902122641509,0.6972277263522508,0.37942374913282456,0.37396234410317136,1.8375964286520527,-0.2642714944414687,0.535377358490566,1.1981861086542676,0.23084457211582715,30,30,5000000.0,13,2,4.476190476190476,False,False
