day,symbol,side,turnover
2025-11-12 00:00:00+00:00,SOLUSD,SHORT,271260296.4465
2025-11-12 00:00:00+00:00,ADAUSD,LONG,2036905.25935
2025-11-12 00:00:00+00:00,BCHUSD,LONG,2931053.27435
2025-11-19 00:00:00+00:00,BNBUSD,SHORT,12102570.559500001
2025-11-19 00:00:00+00:00,SOLUSD,SHORT,256649724.4925
2025-11-19 00:00:00+00:00,LINKUSD,LONG,3573139.201
2025-11-19 00:00:00+00:00,BCHUSD,LONG,4046115.2420500005
2025-11-26 00:00:00+00:00,BNBUSD,SHORT,11453473.349000001
2025-11-26 00:00:00+00:00,SOLUSD,SHORT,250360825.0555
2025-11-26 00:00:00+00:00,ADAUSD,LONG,1882457.522
2025-11-26 00:00:00+00:00,UNIUSD,LONG,3105468.037
2025-12-03 00:00:00+00:00,ARCUSD,SHORT,1030696.0299999999
2025-12-03 00:00:00+00:00,BNBUSD,SHORT,10685401.164500002
2025-12-03 00:00:00+00:00,BCHUSD,LONG,4152660.44125
2025-12-03 00:00:00+00:00,AVAXUSD,LONG,4895341.222999999
2025-12-10 00:00:00+00:00,BNBUSD,SHORT,8969912.322999999
2025-12-10 00:00:00+00:00,SOLUSD,SHORT,213088353.558
2025-12-10 00:00:00+00:00,AVAXUSD,LONG,4005119.625
2025-12-10 00:00:00+00:00,BCHUSD,LONG,4689943.64505
2025-12-17 00:00:00+00:00,BNBUSD,SHORT,6813519.853500001
2025-12-17 00:00:00+00:00,SOLUSD,SHORT,207853870.3535
2025-12-17 00:00:00+00:00,ADAUSD,LONG,1883282.7776
2025-12-17 00:00:00+00:00,BCHUSD,LONG,4214167.24075
2025-12-24 00:00:00+00:00,BNBUSD,SHORT,5837751.021
2025-12-24 00:00:00+00:00,SOLUSD,SHORT,199972898.50949997
2025-12-24 00:00:00+00:00,AAVEUSD,LONG,1291090.65
2025-12-24 00:00:00+00:00,BCHUSD,LONG,4152660.44125
2025-12-31 00:00:00+00:00,BNBUSD,SHORT,4842243.4969999995
2025-12-31 00:00:00+00:00,SOLUSD,SHORT,182107064.609
2025-12-31 00:00:00+00:00,BCHUSD,LONG,4276882.833450001
2025-12-31 00:00:00+00:00,ADAUSD,LONG,1421661.74365
2026-01-07 00:00:00+00:00,BNBUSD,SHORT,4557180.8774999995
2026-01-07 00:00:00+00:00,SOLUSD,SHORT,151779776.99699998
2026-01-07 00:00:00+00:00,BCHUSD,LONG,3830374.64795
2026-01-07 00:00:00+00:00,ADAUSD,LONG,1512949.0950500001
2026-01-14 00:00:00+00:00,HUSD,SHORT,4426614.301
2026-01-14 00:00:00+00:00,BNBUSD,SHORT,4739987.4185
2026-01-14 00:00:00+00:00,ADAUSD,LONG,1512949.0950500001
2026-01-14 00:00:00+00:00,BCHUSD,LONG,4461037.38975
2026-01-21 00:00:00+00:00,HUSD,SHORT,4140372.8100000005
2026-01-21 00:00:00+00:00,BNBUSD,SHORT,4562273.696
2026-01-21 00:00:00+00:00,ADAUSD,LONG,1519490.89515
2026-01-21 00:00:00+00:00,BCHUSD,LONG,3696420.8518000003
2026-01-28 00:00:00+00:00,HUSD,SHORT,1919462.809
2026-01-28 00:00:00+00:00,BNBUSD,SHORT,4269565.4855
2026-01-28 00:00:00+00:00,AVAXUSD,LONG,2355280.0420000004
2026-01-28 00:00:00+00:00,UNIUSD,LONG,1697738.2850000001
2026-02-04 00:00:00+00:00,HUSD,SHORT,1337978.318
2026-02-04 00:00:00+00:00,BNBUSD,SHORT,4485839.7524999995
2026-02-04 00:00:00+00:00,ADAUSD,LONG,1238736.2578
2026-02-04 00:00:00+00:00,UNIUSD,LONG,1341372.148
2026-02-11 00:00:00+00:00,HUSD,SHORT,1397295.46
2026-02-11 00:00:00+00:00,BNBUSD,SHORT,3695793.8465
2026-02-11 00:00:00+00:00,UNIUSD,LONG,1101718.9925
2026-02-11 00:00:00+00:00,HYPEUSD,LONG,1018819.8981
2026-02-18 00:00:00+00:00,BNBUSD,SHORT,2753981.8225000002
2026-02-18 00:00:00+00:00,AAVEUSD,SHORT,1241460.25
2026-02-18 00:00:00+00:00,UNIUSD,LONG,1057204.2655
2026-02-18 00:00:00+00:00,HUSD,LONG,1272011.892
2026-02-25 00:00:00+00:00,BNBUSD,SHORT,1704778.741
2026-02-25 00:00:00+00:00,DOGEUSD,SHORT,2511542.9919999996
2026-02-25 00:00:00+00:00,UNIUSD,LONG,1100377.1405
2026-02-25 00:00:00+00:00,LINKUSD,LONG,1625563.1665
2026-03-04 00:00:00+00:00,HUSD,SHORT,1272011.892
2026-03-04 00:00:00+00:00,ARCUSD,SHORT,1910671.06395
2026-03-04 00:00:00+00:00,UNIUSD,LONG,1135027.964
2026-03-04 00:00:00+00:00,LTCUSD,LONG,2776075.4620000003
2026-03-11 00:00:00+00:00,BNBUSD,SHORT,1309316.1150000002
2026-03-11 00:00:00+00:00,DOGEUSD,SHORT,1596715.0720000002
2026-03-11 00:00:00+00:00,XRPUSD,LONG,44427349.95365
2026-03-11 00:00:00+00:00,LTCUSD,LONG,2137814.8545000004
2026-03-18 00:00:00+00:00,BNBUSD,SHORT,1218108.6179999998
2026-03-18 00:00:00+00:00,DOGEUSD,SHORT,1596715.0720000002
2026-03-18 00:00:00+00:00,LTCUSD,LONG,2086635.276
2026-03-18 00:00:00+00:00,LINKUSD,LONG,1764083.688
2026-03-25 00:00:00+00:00,SOLUSD,SHORT,125311263.4315
2026-03-25 00:00:00+00:00,BCHUSD,SHORT,1354964.4794
2026-03-25 00:00:00+00:00,LTCUSD,LONG,1972318.2745000003
2026-03-25 00:00:00+00:00,AINUSD,LONG,1443197.495
2026-04-01 00:00:00+00:00,AINUSD,SHORT,1373014.7510000002
2026-04-01 00:00:00+00:00,BNBUSD,SHORT,1144414.48
2026-04-01 00:00:00+00:00,DOGEUSD,LONG,2112626.3655000003
2026-04-01 00:00:00+00:00,LTCUSD,LONG,1661779.312
2026-04-08 00:00:00+00:00,AINUSD,SHORT,1924325.7125
2026-04-08 00:00:00+00:00,BNBUSD,SHORT,1271282.9840000002
2026-04-08 00:00:00+00:00,LTCUSD,LONG,1457417.742
2026-04-08 00:00:00+00:00,ZECUSD,LONG,1762847.034
2026-04-15 00:00:00+00:00,AINUSD,SHORT,2107355.045
2026-04-15 00:00:00+00:00,BNBUSD,SHORT,1670768.699
2026-04-15 00:00:00+00:00,BTCUSD,LONG,1142720978.5615
2026-04-15 00:00:00+00:00,LTCUSD,LONG,1428161.2155
2026-04-22 00:00:00+00:00,BNBUSD,SHORT,2158135.9800000004
2026-04-22 00:00:00+00:00,AINUSD,SHORT,1064546.43
2026-04-22 00:00:00+00:00,LINKUSD,LONG,1035280.6980000001
2026-04-22 00:00:00+00:00,ZECUSD,LONG,2156949.2600000002
2026-04-29 00:00:00+00:00,BNBUSD,SHORT,1972661.1665
