label,trades,family,swing_n,struct_tf,exec_tf,trigger,grid,signals,skipped_stop,skipped_size,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
B|N5|15m->5m|level,2106,B,5,15,5,level,mtf,39500,3403,0,1605.1,4,0.3186,0.0484,-1.1183,-1.0,1.0584,0.3588,-0.00197,1.4152,-1.3668,102.0,-2878.5,0.277,1.074,2890.8,0.6377,29.22,0.0,34.9,65.1,1.5,101.5,5.97,0.6543,0.5038,0.349,5.0,75.0,165.0,1.478,-1.9,7.0,1.117,1.408,-6.02,-0.01,0.1097,-1.8014,-1.0248
B|N8|5m->15m|oneshot,2502,B,8,5,15,oneshot,mtf,4050,194,0,1903.5,4,0.3425,0.0767,-1.1376,-1.0,0.4542,0.154,-0.00326,0.6049,-0.5282,192.0,-1321.5,0.515,1.12,1326.1,0.5928,7.883,0.0,35.9,64.1,0.1,97.0,7.09,0.6871,0.5272,0.3589,8.0,40.0,55.0,2.243,-2.207,12.0,1.141,2.375,-8.879,0.0192,0.1319,-0.6354,-0.4347
B|N8|5m->15m|level,3342,B,8,5,15,level,mtf,42881,3280,0,3342.0,4,0.3097,0.026,-1.1573,-1.0,1.191,0.4037,-0.00283,1.5918,-1.5658,87.0,-5232.9,0.237,1.04,5239.7,0.4951,61.149,0.0,34.2,65.8,1.2,66.0,9.47,0.6508,0.5054,0.342,8.0,40.0,90.0,1.949,-2.321,11.0,1.109,1.072,-7.921,-0.0234,0.0754,-1.9983,-1.2189
B|N8|15m->5m|oneshot,952,B,8,15,5,oneshot,mtf,1383,93,0,735.5,4,0.3477,0.0683,-1.0835,-1.0,0.2311,0.0783,-0.00173,0.3077,-0.2395,65.0,-228.0,0.721,1.106,243.5,0.9845,4.507,0.0,35.6,64.4,0.1,253.5,2.7,0.6964,0.5231,0.355,8.0,120.0,135.0,2.003,-2.149,12.0,1.115,1.35,-3.931,-0.02,0.1565,-0.3415,-0.1339
B|N8|15m->5m|level,1845,B,8,15,5,level,mtf,40476,4965,0,1845.0,4,0.3003,0.0325,-1.1298,-1.0,1.1445,0.388,-0.0028,1.5297,-1.4971,60.0,-2762.2,0.248,1.05,2764.2,0.5904,47.037,0.0,34.4,65.6,1.1,85.0,5.24,0.6612,0.4986,0.3436,8.0,120.0,270.0,1.72,-2.616,11.0,1.079,0.979,-6.672,-0.0325,0.0992,-1.9646,-1.1104
C|N2|5m->15m|oneshot,6581,C,2,5,15,oneshot,mtf,27876,102,0,6018.2,4,0.3313,0.0088,-1.162,-1.0,0.335,0.1135,0.00026,0.4488,-0.44,58.0,-2895.4,0.555,1.013,2894.2,0.6021,50.92,49.8,33.6,66.4,0.2,86.0,18.65,0.666,0.5121,0.3361,2.0,10.0,30.0,0.93,0.435,3.0,1.058,0.466,-13.216,-0.0272,0.0416,-0.507,-0.3816
C|N2|5m->15m|level,5508,C,2,5,15,level,mtf,47088,167,0,5508.0,4,0.3431,0.0414,-1.1325,-1.0,0.315,0.1068,0.00026,0.4221,-0.3807,228.0,-2096.9,0.605,1.063,2108.3,0.7005,10.197,49.9,34.7,65.3,0.1,104.0,15.62,0.6712,0.5169,0.3466,2.0,10.0,30.0,0.871,0.876,3.0,1.07,2.117,-5.707,0.0022,0.0779,-0.5334,-0.2806
C|N2|15m->5m|oneshot,2580,C,2,15,5,oneshot,mtf,9136,50,0,1922.1,4,0.3399,0.0198,-1.0933,-1.0,0.1332,0.0452,0.00025,0.1786,-0.1588,51.0,-409.8,0.796,1.03,429.6,1.1149,9.035,49.7,34.0,66.0,0.0,246.0,7.31,0.6686,0.4957,0.3395,2.0,30.0,60.0,0.886,0.385,3.0,0.99,0.669,-5.015,-0.0291,0.0698,-0.2138,-0.1064
C|N2|15m->5m|level,2150,C,2,15,5,level,mtf,27565,279,0,1574.8,4,0.3409,0.0228,-1.0752,-1.0,0.1118,0.0379,0.00084,0.1505,-0.1277,49.0,-274.7,0.832,1.035,301.4,1.3526,6.605,49.5,34.1,65.9,0.0,328.5,6.1,0.6688,0.5014,0.34,2.0,30.0,75.0,0.773,0.678,3.0,1.015,0.651,-3.605,-0.0358,0.08,-0.1863,-0.0687
C|N3|5m->15m|oneshot,4838,C,3,5,15,oneshot,mtf,22029,86,0,3262.6,4,0.3493,0.0597,-1.13,-1.0,0.2407,0.0816,0.00051,0.3228,-0.2631,289.0,-1272.8,0.694,1.092,1277.9,0.7212,5.404,49.9,35.3,64.7,0.0,120.0,13.71,0.6833,0.5157,0.353,3.0,15.0,35.0,1.116,0.456,4.0,1.059,2.444,-9.007,0.0225,0.1,-0.3115,-0.2177
C|N3|5m->15m|level,4052,C,3,5,15,level,mtf,43346,162,0,2777.8,4,0.3623,0.0972,-1.1023,-1.0,0.2224,0.0754,0.00054,0.2983,-0.2011,394.0,-814.7,0.758,1.153,818.9,0.8288,3.068,50.1,36.6,63.4,0.0,148.5,11.49,0.6762,0.5257,0.3653,3.0,15.0,40.0,0.979,0.945,4.0,1.114,3.588,-5.97,0.055,0.141,-0.2575,-0.1464
C|N3|15m->5m|oneshot,1971,C,3,15,5,oneshot,mtf,7374,70,0,1515.5,4,0.3496,0.0487,-1.0775,-1.0,0.1153,0.0391,0.00081,0.1552,-0.1065,96.0,-210.0,0.858,1.075,247.2,1.3249,3.187,51.5,35.0,65.0,0.0,366.0,5.59,0.6854,0.5271,0.3496,3.0,45.0,90.0,1.052,0.381,4.0,1.125,1.332,-2.84,-0.0152,0.1126,-0.1679,-0.04
C|N3|15m->5m|level,1711,C,3,15,5,level,mtf,27401,380,0,1224.0,4,0.3518,0.0555,-1.0634,-1.0,0.0988,0.0335,0.00107,0.1334,-0.0779,95.0,-133.3,0.894,1.086,149.3,1.5498,2.403,52.0,35.2,64.8,0.0,450.0,4.85,0.6745,0.5225,0.3507,3.0,45.0,105.0,0.931,0.714,4.0,1.11,1.39,-1.976,-0.0129,0.1222,-0.1405,-0.0116
C|N5|5m->15m|oneshot,3465,C,5,5,15,oneshot,mtf,16715,81,0,2762.6,4,0.3368,0.0121,-1.1073,-1.0,0.1918,0.065,0.00043,0.2572,-0.2451,42.0,-849.2,0.71,1.018,863.7,0.9104,21.22,50.4,33.7,66.3,0.1,172.0,9.82,0.6646,0.4993,0.3371,5.0,25.0,55.0,1.384,0.463,6.0,1.003,0.469,-7.471,-0.0312,0.0589,-0.3021,-0.19
C|N5|5m->15m|level,2734,C,5,5,15,level,mtf,39595,228,0,2271.4,4,0.3533,0.0622,-1.0815,-1.0,0.1715,0.0581,0.00137,0.231,-0.1688,170.0,-461.4,0.791,1.096,482.3,1.1205,3.714,49.9,35.4,64.6,0.0,226.5,7.75,0.6836,0.519,0.3533,5.0,25.0,55.0,1.225,1.044,6.0,1.092,2.067,-4.172,0.0106,0.1171,-0.244,-0.0997
C|N5|15m->5m|oneshot,1322,C,5,15,5,oneshot,mtf,5572,105,0,1070.1,4,0.348,0.0439,-1.0618,-1.0,0.0929,0.0315,0.00094,0.1253,-0.0814,58.0,-107.7,0.889,1.067,136.3,1.5898,2.856,53.0,34.8,65.2,0.0,524.5,3.75,0.671,0.5197,0.3472,5.0,75.0,135.0,1.371,0.483,6.0,1.09,1.012,-1.765,-0.0333,0.1233,-0.162,0.0011
C|N5|15m->5m|level,1215,C,5,15,5,level,mtf,27129,777,0,934.1,4,0.3473,0.042,-1.0539,-1.0,0.0787,0.0267,0.00143,0.1068,-0.0648,51.0,-78.7,0.91,1.064,99.7,1.8837,2.543,52.7,34.7,65.3,0.0,656.0,3.44,0.6831,0.5251,0.3457,5.0,75.0,150.0,1.231,0.847,6.0,1.121,0.925,-1.349,-0.037,0.121,-0.1471,0.0177
C|N8|5m->15m|oneshot,2337,C,8,5,15,oneshot,mtf,12957,90,0,1701.6,4,0.3423,0.0282,-1.085,-1.0,0.1345,0.0456,0.00063,0.1808,-0.1525,66.0,-356.5,0.804,1.043,369.9,1.1878,6.401,51.0,34.3,65.7,0.0,266.0,6.62,0.6816,0.5178,0.3423,8.0,40.0,80.0,1.86,0.495,9.0,1.068,0.871,-4.296,-0.0257,0.0847,-0.2127,-0.0946
C|N8|5m->15m|level,2021,C,8,5,15,level,mtf,36772,383,0,1348.8,4,0.3365,0.0094,-1.0704,-1.0,0.1216,0.0412,0.00032,0.1632,-0.1538,19.0,-310.7,0.802,1.014,321.5,1.4026,17.355,50.8,33.6,66.4,0.0,358.0,5.73,0.6695,0.5007,0.3355,8.0,40.0,85.0,1.466,1.16,10.0,1.005,0.246,-3.747,-0.053,0.0688,-0.2188,-0.0894
C|N8|15m->5m|oneshot,886,C,8,15,5,oneshot,mtf,4325,134,0,659.9,4,0.3747,0.1242,-1.0487,-1.0,0.0725,0.0246,0.00207,0.0991,0.025,110.0,22.2,1.036,1.199,48.6,2.0375,0.798,51.8,37.5,62.5,0.0,758.0,2.52,0.7088,0.5406,0.3702,8.0,120.0,210.0,1.723,0.526,9.0,1.178,2.066,0.421,0.0226,0.2291,-0.0754,0.1269
C|N8|15m->5m|level,919,C,8,15,5,level,mtf,27840,1485,0,600.0,4,0.3591,0.0773,-1.0425,-1.0,0.064,0.0217,0.00065,0.0864,-0.0091,71.0,-8.4,0.987,1.121,75.9,2.3536,1.118,51.7,35.9,64.1,0.0,897.0,2.61,0.6931,0.5267,0.3569,8.0,120.0,210.0,1.497,0.917,9.0,1.127,1.235,-0.151,-0.0272,0.1785,-0.1091,0.0849
D|N2|5m->15m|oneshot,5989,D,2,5,15,oneshot,mtf,15851,75,0,4989.2,4,0.3328,0.0099,-1.165,-1.0,0.313,0.1061,-9e-05,0.419,-0.4091,59.0,-2450.3,0.575,1.015,2452.0,0.6031,42.531,50.5,33.7,66.3,0.1,86.0,16.97,0.6622,0.5038,0.3366,2.0,10.0,25.0,0.689,0.474,3.0,1.023,0.509,-12.738,-0.0247,0.0444,-0.4689,-0.3543
D|N2|5m->15m|level,6037,D,2,5,15,level,mtf,129945,1701,0,6037.0,4,0.3212,-0.0002,-1.1413,-1.0,0.6247,0.2117,0.00039,0.8368,-0.837,-1.0,-5052.7,0.388,1.0,5061.9,0.6465,,53.7,33.3,66.7,0.8,80.0,17.11,0.648,0.4867,0.3328,2.0,10.0,30.0,1.01,0.04,4.0,0.994,-0.009,-9.735,-0.0354,0.0346,-1.0236,-0.6892
D|N2|15m->5m|oneshot,2223,D,2,15,5,oneshot,mtf,5351,37,0,1722.4,4,0.3455,0.0364,-1.0944,-1.0,0.1378,0.0467,0.00024,0.1847,-0.1483,81.0,-329.7,0.809,1.056,335.9,1.0721,5.07,49.8,34.5,65.5,0.0,270.0,6.3,0.6766,0.5079,0.345,2.0,30.0,60.0,0.641,0.419,3.0,1.022,1.043,-3.976,-0.0229,0.0958,-0.2149,-0.0858
D|N2|15m->5m|level,2458,D,2,15,5,level,mtf,118269,2225,0,1604.4,4,0.3308,0.024,-1.0754,-1.0,0.5135,0.1741,0.00144,0.689,-0.665,59.0,-1634.6,0.468,1.036,1655.2,1.2364,28.705,51.5,34.1,65.9,0.7,216.0,6.97,0.6697,0.5094,0.3405,2.0,30.0,75.0,0.914,0.137,4.0,1.064,0.691,-4.391,-0.0285,0.0801,-0.9229,-0.452
D|N3|5m->15m|oneshot,4531,D,3,5,15,oneshot,mtf,11362,54,0,3940.6,4,0.3386,0.0223,-1.1394,-1.0,0.2336,0.0792,-0.00013,0.3126,-0.2903,101.0,-1315.5,0.666,1.034,1320.1,0.7097,14.024,49.6,34.1,65.9,0.1,115.0,12.84,0.676,0.5063,0.3408,3.0,15.0,35.0,0.826,0.52,4.0,1.038,1.047,-11.593,-0.0168,0.0607,-0.3358,-0.245
D|N3|5m->15m|level,4487,D,3,5,15,level,mtf,128804,1867,0,4207.2,4,0.3363,0.0437,-1.1105,-1.0,0.5011,0.1699,0.00146,0.6725,-0.6288,196.0,-2821.4,0.477,1.067,2828.4,0.7916,15.395,53.6,34.8,65.2,0.7,118.0,12.72,0.6661,0.5097,0.3472,3.0,15.0,40.0,1.047,0.264,5.0,1.083,1.956,-7.649,-0.0004,0.0851,-0.8014,-0.4917
D|N3|15m->5m|oneshot,1666,D,3,15,5,oneshot,mtf,3839,46,0,1457.2,4,0.3385,0.0156,-1.0801,-1.0,0.1118,0.0379,0.00036,0.1501,-0.1345,26.0,-224.1,0.823,1.024,231.7,1.2779,9.618,51.8,33.9,66.1,0.0,355.5,4.72,0.6909,0.5132,0.3373,3.0,45.0,90.0,0.798,0.451,4.0,1.055,0.448,-3.812,-0.0474,0.0786,-0.2,-0.0708
D|N3|15m->5m|level,2232,D,3,15,5,level,mtf,118110,2985,0,2232.0,4,0.3239,0.0215,-1.0718,-1.0,0.7165,0.2429,0.00124,0.9606,-0.9391,48.0,-2096.0,0.379,1.033,2106.7,1.3262,44.667,51.3,34.1,65.9,1.0,237.0,6.33,0.6519,0.5031,0.3392,3.0,45.0,105.0,1.07,0.009,5.0,1.056,0.729,-3.784,-0.0336,0.0806,-1.4806,-0.5332
D|N5|5m->15m|oneshot,3144,D,5,5,15,oneshot,mtf,7550,47,0,2600.8,4,0.3406,0.0267,-1.1149,-1.0,0.1785,0.0605,0.00034,0.2393,-0.2126,84.0,-668.4,0.739,1.041,675.0,0.8763,8.957,49.3,34.2,65.8,0.0,172.0,8.91,0.6651,0.4949,0.3422,5.0,25.0,45.0,1.043,0.55,6.0,0.989,0.994,-7.709,-0.0239,0.0754,-0.2626,-0.1643
D|N5|5m->15m|level,3240,D,5,5,15,level,mtf,127144,2215,0,3240.0,4,0.333,0.0315,-1.0886,-1.0,0.6294,0.2134,0.00082,0.8436,-0.8121,102.0,-2631.3,0.417,1.048,2645.0,1.0009,26.797,53.6,34.4,65.6,0.9,157.0,9.19,0.666,0.5065,0.3432,5.0,25.0,55.0,1.299,0.115,8.0,1.069,1.288,-6.126,-0.0158,0.0796,-1.0791,-0.5708
D|N5|15m->5m|oneshot,1058,D,5,15,5,oneshot,mtf,2463,57,0,847.5,4,0.3412,0.0236,-1.0654,-1.0,0.0924,0.0313,-0.00011,0.1236,-0.0999,25.0,-105.7,0.865,1.036,122.7,1.5598,5.229,52.0,34.1,65.9,0.0,585.0,3.01,0.6862,0.5246,0.3412,5.0,75.0,120.0,1.129,0.573,6.0,1.123,0.502,-2.084,-0.0586,0.1087,-0.1844,-0.0154
D|N5|15m->5m|level,1786,D,5,15,5,level,mtf,119257,4664,0,1786.0,4,0.3175,0.0095,-1.0652,-1.0,0.6056,0.2053,0.00091,0.8118,-0.8023,17.0,-1432.9,0.413,1.014,1451.2,1.4149,85.286,53.9,33.7,66.3,1.4,271.0,5.07,0.6433,0.5011,0.3348,5.0,75.0,165.0,1.339,-0.974,8.0,1.092,0.279,-4.84,-0.0577,0.075,-1.1643,-0.541
D|N8|5m->15m|oneshot,2074,D,8,5,15,oneshot,mtf,4879,45,0,1809.7,4,0.3515,0.0574,-1.0902,-1.0,0.1372,0.0465,-0.00021,0.1835,-0.1261,119.0,-261.6,0.835,1.089,284.3,1.105,3.198,50.1,35.2,64.8,0.0,268.0,5.88,0.6871,0.5183,0.3515,8.0,40.0,70.0,1.335,0.649,9.0,1.069,1.698,-3.642,-0.002,0.1239,-0.19,-0.0632
D|N8|5m->15m|level,2574,D,8,5,15,level,mtf,125541,2904,0,2574.0,4,0.3201,0.0012,-1.0818,-1.0,0.8407,0.285,0.001,1.1267,-1.1255,3.0,-2897.1,0.332,1.002,2906.3,1.1416,966.695,53.8,33.4,66.6,1.1,198.0,7.3,0.6527,0.4891,0.3322,8.0,40.0,85.0,1.551,-0.084,12.0,1.017,0.043,-5.27,-0.0536,0.0536,-1.5782,-0.7619
D|N8|15m->5m|oneshot,766,D,8,15,5,oneshot,mtf,1679,69,0,629.0,4,0.3747,0.124,-1.0497,-1.0,0.0773,0.0262,0.0005,0.104,0.02,95.0,15.3,1.029,1.198,35.6,1.8241,0.839,52.2,37.5,62.5,0.0,734.5,2.18,0.6958,0.5431,0.3734,8.0,120.0,180.0,1.301,0.665,9.0,1.177,2.395,0.381,0.0339,0.218,-0.0737,0.1112
D|N8|15m->5m|level,1652,D,8,15,5,level,mtf,120251,6497,0,1527.2,4,0.3208,0.0442,-1.0612,-1.0,0.6449,0.2186,-5e-05,0.8635,-0.8193,73.0,-1353.5,0.408,1.068,1360.4,1.2217,19.541,52.7,34.8,65.2,1.3,191.5,4.7,0.6483,0.4976,0.3469,8.0,120.0,270.0,1.707,-2.42,13.0,1.097,1.159,-7.815,-0.0285,0.1132,-1.0167,-0.6254
