label,trades,family,swing_n,struct_tf,exec_tf,trigger,grid,signals,skipped_stop,skipped_size,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
D|N3|60m|level,1016,D,3,60,60,level,primary,29224,2525,0,1016.0,4,0.3199,-0.0079,-1.0498,-1.0,0.3259,0.1105,0.00181,0.4382,-0.446,-8.0,-453.2,0.565,0.988,452.7,1.8973,,53.2,33.1,66.9,0.6,452.0,2.9,0.6781,0.4931,0.3258,3.0,180.0,420.0,1.182,-1.256,5.0,0.998,-0.177,-4.34,-0.0935,0.0807,-0.6715,-0.2651
D|N5|5m|oneshot,3158,D,5,5,5,oneshot,primary,7603,24,0,2608.9,4,0.3334,0.0013,-1.1188,-1.0,0.166,0.0563,0.00049,0.2227,-0.2214,4.0,-699.3,0.728,1.002,710.2,0.8641,175.824,49.4,33.4,66.6,0.0,173.0,8.95,0.6662,0.4908,0.3338,5.0,25.0,45.0,1.071,0.554,6.0,0.957,0.049,-7.877,-0.0443,0.0488,-0.2717,-0.1722
D|N5|5m|level,3251,D,5,5,5,level,primary,367011,5906,0,2498.9,4,0.323,0.0455,-1.0913,-1.0,1.0014,0.3395,0.00093,1.3418,-1.2963,148.0,-4214.1,0.3,1.07,4224.4,0.9326,29.474,54.2,34.9,65.1,1.6,145.0,9.21,0.654,0.5066,0.3476,5.0,25.0,60.0,1.344,0.113,8.0,1.15,1.537,-5.941,-0.0052,0.099,-1.7055,-0.9671
D|N5|15m|oneshot,1058,D,5,15,15,oneshot,primary,2463,57,0,847.5,4,0.3412,0.0236,-1.0654,-1.0,0.0924,0.0313,-0.00011,0.1236,-0.0999,25.0,-105.7,0.865,1.036,122.7,1.5598,5.229,52.0,34.1,65.9,0.0,585.0,3.01,0.6862,0.5246,0.3412,5.0,75.0,120.0,1.129,0.573,6.0,1.123,0.502,-2.084,-0.0586,0.1087,-0.1844,-0.0154
D|N5|15m|level,1786,D,5,15,15,level,primary,119257,4664,0,1786.0,4,0.3175,0.0095,-1.0652,-1.0,0.6056,0.2053,0.00091,0.8118,-0.8023,17.0,-1432.9,0.413,1.014,1451.2,1.4149,85.286,53.9,33.7,66.3,1.4,271.0,5.07,0.6433,0.5011,0.3348,5.0,75.0,165.0,1.339,-0.974,8.0,1.092,0.279,-4.84,-0.0577,0.075,-1.1643,-0.541
D|N5|60m|oneshot,318,D,5,60,60,oneshot,primary,607,102,0,278.6,4,0.3679,0.1038,-1.0361,-1.0,0.0516,0.0175,0.00086,0.0699,0.0339,33.0,10.8,1.05,1.164,39.2,2.9462,0.674,51.3,36.8,63.2,0.0,1527.0,0.91,0.6792,0.522,0.3679,5.0,300.0,480.0,0.94,0.629,5.0,1.094,1.146,0.374,-0.066,0.2736,-0.131,0.2014
D|N5|60m|level,901,D,5,60,60,level,primary,29487,3725,0,901.0,4,0.3185,-0.0178,-1.0485,-1.0,0.4393,0.1489,0.00037,0.5886,-0.6064,-16.0,-546.3,0.485,0.974,550.2,2.0977,,53.3,32.7,67.3,0.6,526.0,2.58,0.6548,0.4961,0.3219,5.0,300.0,600.0,1.54,-2.051,8.0,1.015,-0.396,-3.557,-0.1077,0.0688,-0.9701,-0.3179
D|N8|5m|oneshot,2105,D,8,5,5,oneshot,primary,4893,35,0,1763.4,4,0.3397,0.019,-1.0929,-1.0,0.1332,0.0451,7e-05,0.1784,-0.1594,40.0,-335.5,0.795,1.029,364.9,1.0834,9.389,50.6,34.0,66.0,0.0,264.0,5.97,0.6765,0.5045,0.3392,8.0,40.0,65.0,1.369,0.644,9.0,1.019,0.567,-4.673,-0.0423,0.0789,-0.2234,-0.1013
D|N8|5m|level,2594,D,8,5,5,level,primary,367243,7384,0,2594.0,4,0.3146,0.0258,-1.0833,-1.0,1.3432,0.4553,0.00099,1.7995,-1.7737,67.0,-4600.9,0.231,1.039,4617.7,1.0256,69.67,54.0,34.2,65.8,1.9,134.0,7.35,0.6442,0.4938,0.3404,8.0,40.0,90.0,1.584,-0.858,13.0,1.076,0.958,-5.584,-0.0274,0.0767,-2.4376,-1.219
D|N8|15m|oneshot,766,D,8,15,15,oneshot,primary,1679,69,0,629.0,4,0.3747,0.124,-1.0497,-1.0,0.0773,0.0262,0.0005,0.104,0.02,95.0,15.3,1.029,1.198,35.6,1.8241,0.839,52.2,37.5,62.5,0.0,734.5,2.18,0.6958,0.5431,0.3734,8.0,120.0,180.0,1.301,0.665,9.0,1.177,2.395,0.381,0.0339,0.218,-0.0737,0.1112
D|N8|15m|level,1652,D,8,15,15,level,primary,120251,6497,0,1527.2,4,0.3208,0.0442,-1.0612,-1.0,0.6449,0.2186,-5e-05,0.8635,-0.8193,73.0,-1353.5,0.408,1.068,1360.4,1.2217,19.541,52.7,34.8,65.2,1.3,191.5,4.7,0.6483,0.4976,0.3469,8.0,120.0,270.0,1.707,-2.42,13.0,1.097,1.159,-7.815,-0.0285,0.1132,-1.0167,-0.6254
D|N8|60m|oneshot,188,D,8,60,60,oneshot,primary,381,113,0,156.5,4,0.4734,0.4202,-1.013,-1.0,0.0466,0.0158,0.00214,0.0645,0.3557,79.0,66.9,1.637,1.798,9.9,2.9995,0.153,53.2,47.3,52.7,0.0,1981.5,0.54,0.7447,0.6011,0.4734,8.0,480.0,840.0,0.971,0.567,9.0,1.786,3.563,3.092,0.2128,0.6277,0.1554,0.5599
D|N8|60m|level,819,D,8,60,60,level,primary,29741,5787,0,819.0,4,0.3321,0.0147,-1.0471,-1.0,0.5014,0.17,0.00035,0.6717,-0.657,12.0,-538.1,0.473,1.022,542.4,1.7524,45.841,59.2,33.8,66.2,1.3,397.0,2.35,0.6569,0.5031,0.3346,8.0,480.0,960.0,1.672,-3.396,11.0,1.064,0.286,-5.056,-0.0806,0.1136,-0.9186,-0.4187
A|N2|5m->15m|oneshot,7557,A,2,5,15,oneshot,mtf,13794,797,0,7557.0,4,0.3092,0.004,-1.2679,-1.0,0.9542,0.3234,0.00225,1.2798,-1.2759,30.0,-9641.8,0.262,1.006,9646.5,0.3474,322.392,100.0,33.5,66.5,0.9,34.0,21.42,0.6414,0.49,0.3347,2.0,10.0,25.0,1.081,-1.019,3.0,1.01,0.242,-12.396,-0.029,0.0345,-1.4916,-1.09
A|N2|5m->15m|level,8409,A,2,5,15,level,mtf,50771,3412,0,8409.0,4,0.2979,-0.0061,-1.2668,-1.0,1.2121,0.4109,0.00318,1.6262,-1.6323,-51.0,-13725.7,0.212,0.991,13728.4,0.3416,,100.0,33.1,66.9,1.3,32.0,23.83,0.6289,0.4863,0.3312,2.0,10.0,30.0,1.038,-1.036,3.0,1.019,-0.4,-14.57,-0.0357,0.0243,-1.8572,-1.4223
A|N2|15m->5m|oneshot,2785,A,2,15,5,oneshot,mtf,4692,145,0,1973.5,4,0.3282,0.018,-1.1511,-1.0,0.3671,0.1244,0.00092,0.4925,-0.4745,50.0,-1321.6,0.531,1.027,1329.0,0.5992,27.432,100.0,33.9,66.1,0.2,91.0,7.9,0.6697,0.4995,0.339,2.0,30.0,45.0,0.953,-0.962,3.0,1.007,0.557,-11.677,-0.0338,0.0707,-0.5421,-0.4088
A|N2|15m->5m|level,3366,A,2,15,5,level,mtf,41785,2330,0,2978.9,4,0.3191,0.0116,-1.1428,-1.0,0.8072,0.2736,-0.00116,1.0797,-1.0681,39.0,-3595.3,0.326,1.017,3602.3,0.5847,93.187,100.0,33.7,66.3,1.1,80.0,9.54,0.6465,0.4831,0.3366,2.0,30.0,75.0,0.879,-0.943,3.0,1.0,0.443,-7.787,-0.0375,0.0597,-1.3357,-0.8395
A|N3|5m->15m|oneshot,5381,A,3,5,15,oneshot,mtf,9739,503,0,4541.7,4,0.317,0.0169,-1.2203,-1.0,0.6767,0.2294,0.00197,0.9081,-0.8911,91.0,-4795.2,0.351,1.026,4794.1,0.4154,53.695,100.0,33.9,66.1,0.7,49.0,15.25,0.654,0.5042,0.339,3.0,15.0,30.0,1.275,-1.214,5.0,1.045,0.807,-14.387,-0.0221,0.0532,-1.0097,-0.79
A|N3|5m->15m|level,6187,A,3,5,15,level,mtf,48011,2988,0,6187.0,4,0.3018,-0.0123,-1.2229,-1.0,0.9737,0.3301,0.00214,1.3059,-1.3182,-76.0,-8155.5,0.259,0.982,8160.6,0.4059,,100.0,32.9,67.1,1.5,43.0,17.54,0.6318,0.4859,0.3292,3.0,15.0,40.0,1.185,-1.196,4.0,1.023,-0.669,-14.469,-0.0482,0.0226,-1.5138,-1.1556
