label,trades,symbol,family,swing_n,struct_tf,exec_tf,trigger,grid,candidate,split,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
B|N5|15m->5m|level|BTCUSD,509,BTCUSD,B,5,15,5,level,mtf,B|N5|15m->5m|level,train,509.0,1,0.275,-0.0275,-1.2581,-1.0,1.9415,0.6581,-0.00432,2.5953,-2.6228,-14.0,-1335.0,0.141,0.959,1334.2,0.3687,,0.0,32.4,67.6,1.4,87.0,1.44,0.6424,0.4912,0.3222,5.0,75.0,180.0,1.426,-1.956,7.0,1.049,-0.449,-3.705,-0.1395,0.0963,-4.139,-1.4903
B|N5|15m->5m|level|ETHUSD,533,ETHUSD,B,5,15,5,level,mtf,B|N5|15m->5m|level,train,533.0,1,0.3265,0.0694,-1.1039,-1.0,1.1422,0.3872,0.00155,1.531,-1.4616,37.0,-779.0,0.273,1.108,777.4,0.6717,22.055,0.0,35.6,64.4,2.3,102.0,1.51,0.6623,0.4991,0.3565,5.0,75.0,165.0,1.515,-1.904,8.0,1.124,1.184,-4.453,-0.0432,0.1876,-2.163,-0.9093
B|N5|15m->5m|level|SOLUSD,594,SOLUSD,B,5,15,5,level,mtf,B|N5|15m->5m|level,train,594.0,1,0.3367,0.0808,-1.0912,-1.0,0.6096,0.2067,-0.00508,0.8112,-0.7304,48.0,-433.9,0.429,1.126,438.9,0.8299,10.039,0.0,36.0,64.0,0.7,99.0,1.69,0.6431,0.5118,0.3603,5.0,75.0,165.0,1.566,-1.824,8.0,1.131,1.388,-4.477,-0.0404,0.1919,-1.0828,-0.4342
B|N5|15m->5m|level|XRPUSD,470,XRPUSD,B,5,15,5,level,mtf,B|N5|15m->5m|level,train,470.0,1,0.334,0.066,-1.0921,-1.0,0.5742,0.1946,0.0005,0.7693,-0.7033,31.0,-330.6,0.442,1.102,343.2,0.789,11.663,0.0,35.5,64.5,1.7,118.0,1.34,0.6723,0.5128,0.3553,5.0,75.0,165.0,1.442,-1.907,7.0,1.153,1.027,-4.371,-0.0489,0.1938,-1.0453,-0.4094
B|N8|5m->15m|oneshot|BTCUSD,616,BTCUSD,B,8,5,15,oneshot,mtf,B|N8|5m->15m|oneshot,train,616.0,1,0.3084,0.0081,-1.2826,-1.0,0.7974,0.2703,-0.00746,1.0602,-1.0521,5.0,-648.1,0.307,1.012,649.6,0.352,130.617,0.0,33.6,66.4,0.2,96.0,1.75,0.6769,0.5195,0.336,8.0,40.0,55.0,2.248,-2.288,12.5,1.105,0.143,-8.118,-0.1088,0.1201,-1.3073,-0.8018
B|N8|5m->15m|oneshot|ETHUSD,647,ETHUSD,B,8,5,15,oneshot,mtf,B|N8|5m->15m|oneshot,train,642.1,1,0.3555,0.1082,-1.1285,-1.0,0.343,0.1163,-0.00341,0.4559,-0.3477,70.0,-225.0,0.627,1.172,228.7,0.6198,4.214,0.0,36.9,63.1,0.2,96.0,1.84,0.7002,0.5317,0.3694,8.0,40.0,65.0,2.031,-2.265,12.0,1.171,1.954,-5.281,0.0015,0.2195,-0.4755,-0.2204
B|N8|5m->15m|oneshot|SOLUSD,629,SOLUSD,B,8,5,15,oneshot,mtf,B|N8|5m->15m|oneshot,train,609.9,1,0.3545,0.1017,-1.1098,-1.0,0.2748,0.0931,-0.00255,0.3654,-0.2636,64.0,-165.8,0.695,1.161,170.0,0.7824,3.591,0.0,36.7,63.3,0.0,99.0,1.78,0.6804,0.5262,0.3672,8.0,40.0,55.0,2.346,-2.204,12.0,1.124,1.834,-4.353,-0.0032,0.2114,-0.3786,-0.1424
B|N8|5m->15m|oneshot|XRPUSD,610,XRPUSD,B,8,5,15,oneshot,mtf,B|N8|5m->15m|oneshot,train,585.7,1,0.3508,0.0869,-1.1222,-1.0,0.4106,0.1392,0.0004,0.5502,-0.4634,53.0,-282.6,0.559,1.136,284.1,0.7404,6.333,0.0,36.2,63.8,0.2,99.5,1.73,0.6902,0.5311,0.3623,8.0,40.0,55.0,2.255,-2.08,12.0,1.138,1.386,-4.106,-0.0313,0.2098,-0.684,-0.268
B|N8|5m->15m|level|BTCUSD,816,BTCUSD,B,8,5,15,level,mtf,B|N8|5m->15m|level,train,816.0,1,0.2659,-0.0441,-1.3429,-1.0,2.2368,0.7582,-0.00508,2.99,-3.0341,-36.0,-2475.8,0.111,0.935,2477.3,0.2736,,0.0,31.9,68.1,1.1,58.0,2.31,0.6336,0.4926,0.3186,8.0,40.0,95.0,2.039,-2.476,12.0,1.04,-0.918,-5.132,-0.1361,0.0479,-4.2905,-2.0587
B|N8|5m->15m|level|ETHUSD,882,ETHUSD,B,8,5,15,level,mtf,B|N8|5m->15m|level,train,882.0,1,0.3254,0.0646,-1.1342,-1.0,0.9618,0.326,-0.00389,1.284,-1.2193,57.0,-1075.5,0.301,1.1,1077.0,0.5314,19.868,0.0,35.5,64.5,1.7,76.0,2.5,0.6723,0.5249,0.3549,8.0,40.0,90.0,1.84,-2.285,11.0,1.203,1.323,-5.577,-0.034,0.1565,-1.6966,-0.8479
