candidate_id,symbol,mechanism,exec_tf,trades,gross_expectancy,fee_drag,slippage_drag,funding_drag,net_expectancy,gross_total_R,net_total_R,win_rate,wins,losses,longs,shorts,median_net_R,avg_stop_pct,median_stop_pct,median_stop_bps,cost_per_R,pct_target,pct_stop,unresolved_at_boundary,effective_n,profit_factor,max_dd_R
M1|5m|5/20,BTCUSD,M1,5,1525,-0.010491803278688525,-0.34982155265103904,-0.11858357716984372,0.0008958806203049552,-0.4780010524792663,-16.0,-728.9516050308811,0.3291803278688525,502,1023,801,724,-1.2791667837338263,0.47942950335791445,0.39387059620917325,39.38705962091733,0.46750924920057785,32.98360655737705,67.01639344262294,0,1346.5,0.515,731.03
M1|5m|5/20,ETHUSD,M1,5,1491,0.022132796780684104,-0.1898330659215067,-0.06435019183779887,0.00019211617395856805,-0.23185834480466283,33.0,-345.7007921037523,0.340710932260228,508,983,772,719,-1.1608051171875007,0.8025549521990258,0.688227508303154,68.8227508303154,0.25399114158534697,34.0710932260228,65.92890677397719,0,1416.4,0.719,347.61
M1|5m|5/20,SOLUSD,M1,5,1769,-0.013001695873374786,-0.16926943812624365,-0.057379470551269025,0.0004582207307214023,-0.23919238382016605,-22.999999999999996,-423.13132697787375,0.32899943470887505,582,1187,917,852,-1.1533602185150713,0.8899326171704032,0.741795995308918,74.1795995308918,0.22619068794679126,32.89994347088751,67.10005652911249,0,1677.5,0.709,427.45
M1|5m|5/20,XRPUSD,M1,5,1527,-0.017681728880157184,-0.17922087191394526,-0.0607528379369306,0.0005581883267601859,-0.2570972504042729,-27.00000000000002,-392.5875013673247,0.3274394237066143,500,1027,802,725,-1.1454039937788443,0.9040155769197518,0.7447354904981964,74.47354904981964,0.2394155215241157,32.74394237066143,67.25605762933857,0,1448.3,0.691,411.14
M2|5m|5/20|s0.00,BTCUSD,M2,5,1365,-0.03736263736263736,-0.3708842723280469,-0.12572348214510065,0.0003027516615803663,-0.5336676401742045,-51.0,-728.4563288377892,0.3194139194139194,436,929,713,652,-1.2952309194426221,0.4611510875278124,0.37317873768699544,37.31787376869954,0.4963050028115672,32.08791208791209,67.91208791208791,0,1216.0,0.476,729.17
M2|5m|5/20|s0.00,ETHUSD,M2,5,1314,0.0821917808219178,-0.20020202803913523,-0.06786509425055431,-0.00013602949257905764,-0.18601137096035078,108.0,-244.41894144190093,0.3607305936073059,474,840,654,660,-1.1536947980216945,0.7736331506150366,0.6570490665311851,65.70490665311851,0.26820315178226856,36.07305936073059,63.926940639269404,0,1210.5,0.769,268.45
M2|5m|5/20|s0.00,SOLUSD,M2,5,1487,0.0026899798251513187,-0.1761223222156181,-0.059702482106989196,0.00018154749175447116,-0.2329532770057015,4.000000000000011,-346.4015229074781,0.33422999327505043,497,990,745,742,-1.1610975516700197,0.859668385888871,0.721021377419202,72.1021377419202,0.23564325683085285,33.422999327505046,66.57700067249496,0,1372.5,0.717,349.16
M2|5m|5/20|s0.00,XRPUSD,M2,5,1331,-0.0781367392937641,-0.18885297325927153,-0.06401795703704119,-0.0001434509775237035,-0.3311511205676006,-104.0,-440.76214147547637,0.3072877535687453,409,922,666,665,-1.1602338860139174,0.8698399497330558,0.7000538502961792,70.00538502961791,0.25301438127383646,30.728775356874532,69.27122464312548,0,1331.0,0.617,444.65
M2|5m|5/20|s0.25,BTCUSD,M2,5,33,0.5454545454545454,-0.2577770390326896,-0.08738204712972528,-0.0026331080228946114,0.19766235126923595,18.0,6.522857591884787,0.5151515151515151,17,16,19,14,0.7971875182481749,0.6940700781529742,0.6003623766651959,60.03623766651958,0.34779219418530954,51.515151515151516,48.484848484848484,0,31.1,1.298,8.29
M2|5m|5/20|s0.25,ETHUSD,M2,5,20,0.35,-0.1151566513302233,-0.03903615299329604,0.0009587291299090722,0.1967659248063897,7.0,3.935318496127794,0.45,9,11,9,11,-1.0763384321700324,1.4336922215330705,1.0987214361171525,109.87214361171523,0.1532340751936103,45.0,55.00000000000001,0,20.0,1.306,7.31
