scenario,trades,net_r
base,3101,-0.0973
1.25x cost,3101,-0.1068
1.5x cost,3101,-0.1164
2.0x cost,3101,-0.1355
1.5x slip,3101,-0.0999
2.0x slip,3101,-0.1025
3.0x slip,3101,-0.1077
