label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time
2025Q1,442,270.2,1.64,0.6538,-0.0725,0.1946,-0.0401,0.0324,7e-05,0.674,-15.64,-19.499,37.14,-0.1149,-0.0296,-3.284,-2.567,3.35,2.0,0.299,0.442,0.2,62.4,14.0,23.5
2025Q2,443,318.9,1.39,0.5779,-0.1269,0.1491,-0.0849,0.0423,-0.00027,0.498,-24.876,-30.556,56.64,-0.1758,-0.079,-5.12,-4.344,3.96,3.0,0.263,0.468,0.0,51.9,14.2,33.9
2025Q3,415,244.1,1.7,0.5855,-0.0907,0.1722,-0.0409,0.0496,0.00027,0.595,-19.334,-22.874,38.96,-0.1362,-0.045,-3.986,-3.057,3.74,3.0,0.283,0.441,0.0,55.4,10.8,33.7
2025Q4,508,249.6,2.04,0.5925,-0.1176,0.1791,-0.0785,0.0391,2e-05,0.532,-24.082,-31.633,59.01,-0.1562,-0.0809,-6.076,-4.259,3.68,3.0,0.277,0.45,0.0,55.3,13.8,30.9
2026Q1,541,261.3,2.07,0.6007,-0.0776,0.1676,-0.0383,0.0392,3e-05,0.629,-16.574,-18.502,44.71,-0.1139,-0.0408,-4.153,-2.886,3.88,3.0,0.271,0.439,0.0,55.6,11.1,33.3
2026Q2,511,240.5,2.12,0.5851,-0.1047,0.1532,-0.0556,0.0495,-0.00035,0.546,-21.215,-24.142,54.28,-0.1409,-0.0689,-5.676,-3.894,3.96,4.0,0.277,0.444,0.0,53.6,13.1,33.3
2026Q3,241,121.5,1.98,0.6141,-0.085,0.1738,-0.024,0.0614,-0.0004,0.603,-18.179,-20.001,21.74,-0.1361,-0.0333,-3.281,-2.329,3.71,3.0,0.306,0.435,0.0,58.5,12.0,29.5
