label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct
BTCUSD,1423,1201.3,0.3233,1.5131,-1.6841,0.0309,0.5088,0.1725,0.00023,0.6815,-0.6506,0.777,-10.07,-0.7644,-0.5362,0.429,930.4,370.0,71.0,3.03,0.4217,22.041,48.8,34.4,65.6,0.2
ETHUSD,1382,1014.0,0.343,1.7236,-1.3946,0.0441,0.2747,0.0931,0.0015,0.3693,-0.3251,0.87,-4.837,-0.4367,-0.2143,0.645,463.0,398.2,94.0,2.94,0.7603,8.366,49.1,34.8,65.2,0.1
SOLUSD,1642,1552.5,0.3423,1.7273,-1.2921,0.0396,0.2223,0.0754,0.00059,0.2983,-0.2587,1.156,-7.173,-0.3258,-0.1888,0.696,436.2,294.3,81.0,3.49,0.8103,7.535,46.9,34.7,65.3,0.0
XRPUSD,1522,1474.1,0.3357,1.7182,-1.3042,0.0131,0.2249,0.0762,0.0014,0.3026,-0.2894,0.394,-7.513,-0.3637,-0.2153,0.666,447.1,332.7,79.0,3.24,0.7571,23.025,46.8,33.8,66.2,0.0
