label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,arm,desc,split,signals
T_A|train,4439,2493.1,0.3453,1.6738,-1.4102,0.0577,0.3006,0.1019,0.0004,0.4028,-0.3452,2.114,-9.08,-0.4032,-0.2898,0.626,1532.3,352.5,79.0,12.61,0.6741,6.985,47.8,35.3,64.7,0.1,T_A,A  5m regime + 1m ST + 1m ADX/DI,train,211310
T_A|valid,1530,608.6,0.3098,1.6789,-1.4243,-0.0431,0.3117,0.1056,0.00245,0.4198,-0.4629,-0.768,-6.078,-0.5598,-0.3691,0.529,706.3,328.0,86.0,13.03,0.6978,,47.9,31.9,68.1,0.0,T_A,A  5m regime + 1m ST + 1m ADX/DI,valid,285506
T_B|train,9209,5886.4,0.2338,1.308,-6.9527,0.0177,3.7633,1.2757,5e-05,5.0391,-5.0214,0.952,-14.481,-5.573,-4.5032,0.057,46241.7,99.9,4.0,26.17,0.1468,284.691,47.7,33.9,66.1,6.5,T_B,B  5m regime only,train,705876
T_B|valid,294,139.2,0.1565,0.6992,-6.2067,-0.2245,3.6607,1.2409,0.0,4.9017,-5.1262,-1.746,-5.779,-6.4365,-4.0235,0.021,1497.8,0.5,0.0,11.55,0.0792,,20.4,25.9,74.1,26.9,T_B,B  5m regime only,valid,943632
T_C|train,6073,3272.5,0.3359,1.5959,-1.5323,0.0339,0.3848,0.1305,0.00011,0.5154,-0.4815,1.344,-12.999,-0.536,-0.4295,0.527,2925.5,262.8,48.0,17.21,0.515,15.194,48.6,34.5,65.5,0.1,T_C,C  5m regime + 1m ST,train,383868
T_C|valid,2737,979.8,0.3142,1.4729,-1.6262,-0.0124,0.476,0.1614,0.00259,0.64,-0.6524,-0.281,-9.836,-0.7281,-0.5756,0.415,1783.4,150.5,29.0,23.28,0.3726,,48.1,32.9,67.1,0.0,T_C,C  5m regime + 1m ST,valid,510859
T_D|train,5487,5014.5,0.3178,1.6067,-3.3288,0.0443,1.3473,0.4567,0.00041,1.8044,-1.7601,2.312,-8.385,-2.1802,-1.4004,0.225,9657.8,283.0,48.0,15.56,0.5378,40.744,47.1,34.8,65.2,1.7,T_D,D  5m regime + 1m ADX/DI,train,285721
T_D|valid,2236,1487.4,0.2554,1.4895,-5.2131,-0.0689,2.5617,0.8684,0.0025,3.4326,-3.5015,-1.917,-6.474,-4.4233,-2.6831,0.098,7826.8,173.9,20.0,19.02,0.3302,,48.4,31.0,69.0,3.6,T_D,D  5m regime + 1m ADX/DI,valid,387095
