label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct
2025Q1,1096,552.5,0.3549,1.7332,-1.335,0.0867,0.2484,0.0842,0.00017,0.3327,-0.246,1.356,-3.126,-0.3583,-0.1322,0.714,269.8,361.8,82.5,12.24,0.8028,3.838,45.7,36.2,63.8,0.1
2025Q2,1176,585.7,0.3478,1.671,-1.4553,0.0612,0.3206,0.1087,3e-05,0.4292,-0.368,1.095,-4.236,-0.4918,-0.2527,0.612,439.6,335.1,81.0,12.94,0.668,7.011,50.4,35.4,64.6,0.0
2025Q3,1095,688.1,0.3516,1.6436,-1.3788,0.0795,0.2953,0.1001,0.00017,0.3956,-0.3161,1.512,-5.151,-0.4088,-0.2198,0.646,346.1,369.5,76.0,11.93,0.6219,4.979,47.2,36.0,64.0,0.0
2025Q4,1167,768.2,0.3162,1.6373,-1.4693,-0.0283,0.3412,0.1156,0.00193,0.4587,-0.487,-0.591,-6.91,-0.5989,-0.3732,0.515,570.2,352.1,75.0,12.75,0.5932,,47.0,32.4,67.6,0.3
2026Q1,1255,485.9,0.3219,1.6954,-1.4073,-0.008,0.2967,0.1006,0.00327,0.4005,-0.4085,-0.128,-4.719,-0.5192,-0.3081,0.572,512.7,310.6,85.0,14.14,0.7505,,47.9,33.1,66.9,0.0
2026Q2,180,71.8,0.2833,1.6104,-1.4955,-0.1167,0.3777,0.128,-0.0069,0.4988,-0.6155,-0.68,-3.044,-0.8665,-0.3741,0.426,115.1,392.4,108.0,11.63,0.5292,,52.2,29.4,70.6,0.0
